cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
ACC;Aéroport de Charles de Gaules;180;208;238;268;288;415;477;519;581
AO;Aéroport d'Orly;165;191;221;251;271;383;440;478;536
AB;Aéroport de Beauvais;245;278;308;338;358;556;639;695;778
AMN;Aéroport de Metz - Nancy;210;240;270;300;320;480;552;600;672
AL;Aéroport de Lille;270;305;335;365;385;610;702;763;854
ADJ;Aéroport de Doles-Jura;275;310;340;370;390;621;714;776;869
ALUX;Aéroport de Luxembourg;250;283;313;343;363;567;652;708;793
