cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
54280;Champenoux;188;216;246;276;296;432;497;540;605
54700;Champey-sur-Moselle;170;197;227;257;277;393;452;492;551
54250;Champigneulles;171;198;228;258;278;396;455;494;554
54300;Chanteheux;200;229;259;289;309;458;527;573;642
54330;Chaouilley;182;210;240;270;290;419;482;524;587
54260;Charency-Vezin;191;219;249;279;299;439;505;549;614
54470;Charey;164;190;220;250;270;380;437;475;532
54113;Charmes-la-Côte;147;172;202;232;252;344;395;429;481
54360;Charmois;193;222;252;282;302;443;510;554;620
54200;Chaudeney-sur-Moselle;148;173;203;233;253;346;398;432;484
54230;Chavigny;171;198;228;258;278;396;455;494;554
54450;Chazelles-sur-Albe;224;255;285;315;335;510;587;638;714
54122;Chenevières;210;240;270;300;320;480;552;600;672
54610;Chenicourt;192;221;251;281;301;441;507;551;617
54720;Chenières;191;219;249;279;299;439;505;549;614
54200;Choloy-Ménillot;138;162;192;222;242;324;373;405;454
54480;Cirey-sur-Vezouze;234;266;296;326;346;532;612;665;745
54290;Clayeures;205;235;265;295;315;469;540;586;657
54610;Clémery;195;224;254;284;304;448;515;559;627
54330;Clérey-sur-Brenon;188;216;246;276;296;432;497;540;605
54370;Coincourt;214;244;274;304;324;489;562;611;684
54260;Colmey;185;213;243;273;293;426;490;532;596
54170;Colombey-les-Belles;159;185;215;245;265;370;425;462;517
54800;Conflans-en-Jarnisy;171;198;228;258;278;396;455;494;554
54870;Cons-la-Grandville;188;216;246;276;296;432;497;540;605
54400;Cosnes-et-Romain;193;222;252;282;302;443;510;554;620
54110;Courbesseaux;194;223;253;283;303;445;512;557;623
54930;Courcelles;185;213;243;273;293;426;490;532;596
54210;Coyviller;186;214;244;274;294;428;492;535;599
54740;Crantenoy;193;222;252;282;302;443;510;554;620
54170;Crépey;167;193;223;253;273;387;445;484;542
54290;Crévéchamps;188;216;246;276;296;432;497;540;605
54110;Crévic;198;227;257;287;307;454;522;568;636
54113;Crézilles;152;177;207;237;257;354;407;443;496
54300;Crion;204;234;264;294;314;467;537;584;654
54300;Croismare;207;237;267;297;317;474;545;592;663
54680;Crusnes;196;225;255;285;305;450;517;562;630
54670;Custines;176;203;233;263;283;406;467;508;569
54720;Cutry;189;217;247;277;297;435;500;543;608
54360;Damelevières;191;219;249;279;299;439;505;549;614
54470;Dampvitoux;170;197;227;257;277;393;452;492;551
54120;Deneuvre;223;254;284;314;334;508;584;635;711
54370;Deuxville;196;225;255;285;305;450;517;562;630
54930;Diarville;189;217;247;277;297;435;500;543;608
54380;Dieulouard;171;198;228;258;278;396;455;494;554
54170;Dolcourt;167;193;223;253;273;387;445;484;542
54110;Dombasle-sur-Meurthe;188;216;246;276;296;432;497;540;605
54385;Domèvre-en-Haye;166;192;222;252;272;385;442;481;539
54450;Domèvre-sur-Vezouze;222;253;283;313;333;506;582;633;708
54119;Domgermain;146;171;201;231;251;341;393;427;478
54450;Domjevin;214;244;274;304;324;489;562;611;684
54115;Dommarie-Eulmont;180;208;238;268;288;415;477;519;581
54130;Dommartemont;185;213;243;273;293;426;490;532;596
54470;Dommartin-la-Chaussée;172;199;229;259;279;398;457;497;557
54200;Dommartin-lès-Toul;150;175;205;235;255;350;403;438;490
54770;Dommartin-sous-Amance;179;206;236;266;286;413;475;516;578
54490;Domprix;173;200;230;260;280;400;460;500;560
54290;Domptail-en-l'Air;195;224;254;284;304;448;515;559;627
54800;Doncourt-lès-Conflans;179;206;236;266;286;413;475;516;578
54620;Doncourt-lès-Longuyon;174;201;231;261;281;402;462;503;563
54370;Drouville;211;241;271;301;321;482;554;603;675
54200;Écrouves;143;167;197;227;247;335;385;419;469
54360;Einvaux;202;231;261;291;311;463;532;578;648
54370;Einville-au-Jard;201;230;260;290;310;461;530;576;645
54370;Emberménil;220;251;281;311;331;502;577;627;702
54260;Épiez-sur-Chiers;181;209;239;269;289;417;480;521;584
54610;Éply;203;232;262;292;312;465;535;581;651
54280;Erbéviller-sur-Amezule;192;221;251;281;301;441;507;551;617
54680;Errouville;194;223;253;283;303;445;512;557;623
54470;Essey-et-Maizerais;152;177;207;237;257;354;407;443;496
54830;Essey-la-Côte;212;242;272;302;322;484;557;605;678
54270;Essey-lès-Nancy;181;209;239;269;289;417;480;521;584
54330;Étreval;180;208;238;268;288;415;477;519;581
54690;Eulmont;177;204;234;264;284;409;470;511;572
54470;Euvezin;155;180;210;240;260;361;415;451;505
54760;Faulx;180;208;238;268;288;415;477;519;581
54115;Favières;122;145;175;205;225;289;333;362;405
