CP;Commune;Distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16 ;17-31 ;32-54
8270;Corny-Machéroménil;120;235;250;260;275;470;541;644;731
8300;Coucy;115;225;240;250;265;449;517;619;704
8130;Coulommes-et-Marqueny;105;204;219;229;244;408;469;570;651
8140;Daigny;170;338;353;363;378;676;778;892;999
8090;Damouzy;155;307;322;332;347;614;707;817;919
8800;Deville;170;338;353;363;378;676;778;892;999
8160;Dom-le-Mesnil;150;297;312;322;337;594;683;793;892
8460;Dommery;140;276;291;301;316;553;635;743;838
8350;Donchery;160;318;333;343;358;635;730;842;946
8220;Doumely-Bégny;125;245;260;270;285;491;564;669;758
8300;Doux;110;214;229;239;254;429;493;595;677
8140;Douzy;175;348;363;373;388;697;801;916;1026
8220;Draize;130;256;271;281;296;511;588;694;785
8310;Dricourt;105;204;219;229;244;408;469;570;651
8110;Escombres-et-le-Chesnois;180;359;374;384;399;718;825;941;1053
8260;Estrebay;150;297;312;322;337;594;683;793;892
8210;Euilly-et-Lombut;185;369;384;394;409;738;849;966;1080
8250;Exermont;135;266;281;291;306;532;612;718;811
8090;Fagnon;145;287;302;312;327;573;659;768;865
8270;Faissault;125;245;260;270;285;491;564;669;758
8400;Falaise;105;204;219;229;244;408;469;570;651
8260;Flaignes-Havys;150;235;250;260;275;470;541;644;731
8200;Fleigneux;170;297;312;322;337;594;683;793;892
8380;Fligny;160;338;353;363;378;676;778;892;999
8160;Flize;150;318;333;343;358;635;730;842;946
8200;Floing;165;297;312;322;337;594;683;793;892
8250;Fléville;135;328;343;353;368;656;754;867;972
8600;Foisches;205;266;281;291;306;532;612;718;811
8240;Fossé;125;410;425;435;450;821;944;1065;1187
8220;Fraillicourt;130;245;260;270;285;491;564;669;758
8140;Francheval;175;256;271;281;296;511;588;694;785
8600;Fromelennes;210;348;363;373;388;697;801;916;1026
8370;Fromy;195;421;436;446;461;841;967;1090;1214
8170;Fumay;190;390;405;415;430;779;896;1015;1133
8170;Fépin;185;379;394;404;419;759;873;991;1106
8240;Germont;120;369;384;394;409;738;849;966;1080
8440;Gernelle;160;235;250;260;275;470;541;644;731
8700;Gespunsart;165;318;333;343;358;635;730;842;946
8260;Girondelle;155;328;343;353;368;656;754;867;972
8600;Givet;210;307;322;332;347;614;707;817;919
8200;Givonne;175;421;436;446;461;841;967;1090;1214
8220;Givron;120;348;363;373;388;697;801;916;1026
8130;Givry;120;235;250;260;275;470;541;644;731
8200;Glaire;165;235;250;260;275;470;541;644;731
8190;Gomont;110;328;343;353;368;656;754;867;972
8270;Grandchamp;125;214;229;239;254;429;493;595;677
8250;Grandham;105;245;260;270;285;491;564;669;758
8250;Grandpré;110;204;219;229;244;408;469;570;651
8400;Grivy-Loisy;105;214;229;239;254;429;493;595;677
8430;Gruyères;140;204;219;229;244;408;469;570;651
8430;Guignicourt-sur-Vence;140;276;291;301;316;553;635;743;838
8130;Guincourt;120;276;291;301;316;553;635;743;838
8230;Gué-d'Hossus;165;235;250;260;275;470;541;644;731
8430;Hagnicourt;135;328;343;353;368;656;754;867;972
8090;Ham-les-Moines;160;266;281;291;306;532;612;718;811
8600;Ham-sur-Meuse;205;318;333;343;358;635;730;842;946
8290;Hannappes;155;410;425;435;450;821;944;1065;1187
8160;Hannogne-Saint-Martin;155;307;322;332;347;614;707;817;919
8220;Hannogne-Saint-Rémy;130;307;322;332;347;614;707;817;919
8450;Haraucourt;175;256;271;281;296;511;588;694;785
8150;Harcy;165;348;363;373;388;697;801;916;1026
8170;Hargnies;185;328;343;353;368;656;754;867;972
8240;Harricourt;120;369;384;394;409;738;849;966;1080
8090;Haudrecy;160;235;250;260;275;470;541;644;731
8800;Haulmé;170;318;333;343;358;635;730;842;946
8300;Hauteville;120;338;353;363;378;676;778;892;999
8310;Hauviné;80;235;250;260;275;470;541;644;731
8170;Haybes;180;153;168;178;193;305;351;446;517
8370;Herbeuval;200;359;374;384;399;718;825;941;1053
8360;Herpy-l'Arlésienne;110;400;415;425;440;800;920;1040;1160
8320;Hierges;200;214;229;239;254;429;493;595;677
8190;Houdilcourt;100;400;415;425;440;800;920;1040;1160
8090;Houldizy;160;194;209;219;234;388;446;545;624
8200;Illy;180;318;333;343;358;635;730;842;946
8240;Imécourt;120;359;374;384;399;718;825;941;1053
8300;Inaumont;115;235;250;260;275;470;541;644;731
8440;Issancourt-et-Rumel;160;225;240;250;265;449;517;619;704
8430;Jandun;135;318;333;343;358;635;730;842;946
8700;Joigny-sur-Meuse;165;266;281;291;306;532;612;718;811
8130;Jonval;145;328;343;353;368;656;754;867;972
8310;Juniville;105;287;302;312;327;573;659;768;865
8270;Justine-Herbigny;120;204;219;229;244;408;469;570;651
8300;L'Écaille;100;235;250;260;275;470;541;644;731
8150;L'Échelle;145;194;209;219;234;388;446;545;624
8240;La Berlière;135;287;302;312;327;573;659;768;865
8450;La Besace;145;266;281;291;306;532;612;718;811
8200;La Chapelle;175;287;302;312;327;573;659;768;865
8400;La Croix-aux-Bois;110;348;363;373;388;697;801;916;1026
8370;La Ferté-sur-Chiers;195;214;229;239;254;429;493;595;677
8000;La Francheville;145;390;405;415;430;779;896;1015;1133
8290;La Férée;150;287;302;312;327;573;659;768;865
8700;La Grandville;160;297;312;322;337;594;683;793;892
8430;La Horgne;140;318;333;343;358;635;730;842;946
8140;La Moncelle;170;276;291;301;316;553;635;743;838
8380;La Neuville-aux-Joûtes;165;338;353;363;378;676;778;892;999
8310;La Neuville-en-Tourne-à-Fuy;90;328;343;353;368;656;754;867;972
8270;La Neuville-lès-Wasigny;125;173;188;198;213;346;398;496;570
8450;La Neuville-à-Maire;155;245;260;270;285;491;564;669;758
8220;La Romagne;135;307;322;332;347;614;707;817;919
8130;La Sabotterie;120;266;281;291;306;532;612;718;811
8800;Laifour;175;235;250;260;275;470;541;644;731
8460;Lalobbe;130;348;363;373;388;697;801;916;1026
8130;Lametz;120;256;271;281;296;511;588;694;785
8240;Landres-et-Saint-Georges;120;235;250;260;275;470;541;644;731
8600;Landrichamps;215;235;250;260;275;470;541;644;731
8250;Lançon;105;431;446;456;471;862;991;1114;1240
8430;Launois-sur-Vence;130;204;219;229;244;408;469;570;651
8150;Laval-Morency;150;256;271;281;296;511;588;694;785
8390;Le Chesne;120;297;312;322;337;594;683;793;892
8300;Le Châtelet-sur-Retourne;95;235;250;260;275;470;541;644;731
8150;Le Châtelet-sur-Sormonne;150;183;198;208;223;367;422;520;597
8290;Le Fréty;140;297;312;322;337;594;683;793;892
8390;Le Mont-Dieu;130;276;291;301;316;553;635;743;838
8190;Le Thour;115;256;271;281;296;511;588;694;785
8310;Leffincourt;100;225;240;250;265;449;517;619;704
8400;Les Alleux;115;194;209;219;234;388;446;545;624
8000;Les Ayvelles;150;225;240;250;265;449;517;619;704
8110;Les Deux-Villes;190;297;312;322;337;594;683;793;892
8390;Les Grandes-Armoises;130;379;394;404;419;759;873;991;1106
8800;Les Hautes-Rivières;175;256;271;281;296;511;588;694;785
8500;Les Mazures;170;348;363;373;388;697;801;916;1026
8390;Les Petites-Armoises;120;338;353;363;378;676;778;892;999
8290;Liart;150;235;250;260;275;470;541;644;731
8110;Linay;190;297;312;322;337;594;683;793;892
8400;Liry;95;379;394;404;419;759;873;991;1106
8150;Logny-Bogny;145;183;198;208;223;367;422;520;597
8400;Longwé;105;287;302;312;327;573;659;768;865
8150;Lonny;165;204;219;229;244;408;469;570;651
8390;Louvergny;150;328;343;353;368;656;754;867;972
