name;zipcode;type
Coupru;2310;commune
Courbes;2800;commune
Courboin;2330;commune
Courcelles-sur-Vesle;2220;commune
Courchamps;2810;commune
Courmelles;2200;commune
Courmont;2130;commune
Courtemont-Varennes;2850;commune
Courtrizy-et-Fussigny;2820;commune
Couvrelles;2220;commune
Couvron-et-Aumencourt;2270;commune
Coyolles;2600;commune
Cramaille;2130;commune
Craonne;2160;commune
Craonnelle;2160;commune
Crécy-au-Mont;2380;commune
Crécy-sur-Serre;2270;commune
Crépy;2870;commune
Crézancy;2650;commune
Croix-Fonsomme;2110;commune
Crouttes-sur-Marne;2310;commune
Crouy;2880;commune
Crupilly;2120;commune
Cuffies;2880;commune
Cugny;2480;commune
Cuirieux;2350;commune
Cuiry-Housse;2220;commune
Cuiry-lès-Chaudardes;2160;commune
Cuiry-lès-Iviers;2360;commune
Cuissy-et-Geny;2160;commune
Cuisy-en-Almont;2200;commune
Cutry;2600;commune
Cys-la-Commune;2220;commune
Dagny-Lambercy;2140;commune
Dallon;2680;commune
Dammard;2470;commune
Dampleux;2600;commune
Danizy;2800;commune
Dercy;2270;commune
Deuillet;2700;commune
Dhuizel;2220;commune
Dizy-le-Gros;2340;commune
Dohis;2360;commune
Dolignon;2360;commune
Dommiers;2600;commune
Domptin;2310;commune
Dorengt;2450;commune
Douchy;2590;commune
Dravegny;2130;commune
Droizy;2210;commune
Dury;2480;commune
Ébouleau;2350;commune
Effry;2500;commune
Englancourt;2260;commune
Épagny;2290;commune
Éparcy;2500;commune
Épaux-Bézu;2400;commune
Épieds;2400;commune
Eppes;2840;commune
Erlon;2250;commune
Erloy;2260;commune
Esquéhéries;2170;commune
Essigny-le-Grand;2690;commune
Essigny-le-Petit;2100;commune
Essises;2570;commune
Essômes-sur-Marne;2400;commune
Estrées;2420;commune
Étampes-sur-Marne;2400;commune
Étaves-et-Bocquiaux;2110;commune
Étouvelles;2000;commune
Étréaupont;2580;commune
Étreillers;2590;commune
Étrépilly;2400;commune
Étreux;2510;commune
Évergnicourt;2190;commune
Faucoucourt;2320;commune
Faverolles;2600;commune
Fayet;2100;commune
Fère-en-Tardenois;2130;commune
Fesmy-le-Sart;2450;commune
Festieux;2840;commune
Fieulaine;2110;commune
Filain;2000;commune
Flavigny-le-Grand-et-Beaurain;2120;commune
Flavy-le-Martel;2520;commune
Fleury;2600;commune
Fluquières;2590;commune
Folembray;2670;commune
Fonsomme;2110;commune
Fontaine-lès-Clercs;2680;commune
Fontaine-lès-Vervins;2140;commune
Fontaine-Notre-Dame;2110;commune
Fontaine-Uterte;2110;commune
Fontenelle;2170;commune
Fontenelle-en-Brie;2540;commune
Fontenoy;2290;commune
Foreste;2590;commune
Fossoy;2650;commune
Fourdrain;2870;commune
Francilly-Selency;2760;commune
Franqueville;2140;commune
Fresnes;2380;commune
Fresnes-en-Tardenois;2130;commune
Fresnoy-le-Grand;2230;commune
Fressancourt;2800;commune
Frières-Faillouël;2700;commune
Froidestrées;2260;commune
Froidmont-Cohartille;2270;commune
Gandelu;2810;commune
Gauchy;2430;commune
Gercy;2140;commune
Gergny;2260;commune
Germaine;2590;commune
Gernicourt;2160;commune
Gibercourt;2440;commune
Gizy;2350;commune
Gland;2400;commune
Glennes;2160;commune
Goudelancourt-lès-Berrieux;2820;commune
Goudelancourt-lès-Pierrepont;2350;commune
Goussancourt;2130;commune
Gouy;2420;commune
Grandlup-et-Fay;2350;commune
Grandrieux;2360;commune
Grand-Rozoy;2210;commune
Grand-Verly;2120;commune
Gricourt;2100;commune
Grisolles;2210;commune
Gronard;2140;commune
Grougis;2110;commune
Grugies;2680;commune
Guignicourt;2190;commune
Guise;2120;commune
Guivry;2300;commune
Guny;2300;commune
Guyencourt;2160;commune
Hannapes;2510;commune
Happencourt;2480;commune
Haramont;2600;commune
Harcigny;2140;commune
Hargicourt;2420;commune
Harly;2100;commune
Hartennes-et-Taux;2210;commune
Hary;2140;commune
Hautevesnes;2810;commune
Hauteville;2120;commune
Haution;2140;commune
Hinacourt;2440;commune
Hirson;2500;commune
Holnon;2760;commune
Homblières;2720;commune
Houry;2140;commune
Housset;2250;commune
Iron;2510;commune
Itancourt;2240;commune
Iviers;2360;commune
Jaulgonne;2850;commune
Jeancourt;2490;commune
Jeantes;2140;commune
Joncourt;2420;commune
Jouaignes;2220;commune
Jumencourt;2380;commune
Jumigny;2160;commune
