cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
8270;Corny-Machéroménil;120;210;220;230;240;420;462;584;666
8300;Coucy;115;201;211;221;231;401;441;562;642
8130;Coulommes-et-Marqueny;105;182;192;202;212;364;400;517;593
8140;Daigny;170;304;314;324;334;608;668;809;910
8090;Damouzy;155;276;286;296;306;551;606;742;837
8800;Deville;170;304;314;324;334;608;668;809;910
8160;Dom-le-Mesnil;150;266;276;286;296;533;586;719;812
8460;Dommery;140;248;258;268;278;495;545;674;764
8350;Donchery;160;285;295;305;315;570;627;764;861
8220;Doumely-Bégny;125;219;229;239;249;439;483;607;690
8300;Doux;110;191;201;211;221;383;421;539;617
8140;Douzy;175;313;323;333;343;626;689;832;934
8220;Draize;130;229;239;249;259;458;503;629;715
8310;Dricourt;105;182;192;202;212;364;400;517;593
8110;Escombres-et-le-Chesnois;180;323;333;343;353;645;710;854;959
8260;Estrebay;150;266;276;286;296;533;586;719;812
8210;Euilly-et-Lombut;185;332;342;352;362;664;730;877;983
8250;Exermont;135;238;248;258;268;476;524;652;739
8090;Fagnon;145;257;267;277;287;514;565;697;788
8270;Faissault;125;219;229;239;249;439;483;607;690
8400;Falaise;105;182;192;202;212;364;400;517;593
8270;FAUX;120;210;220;230;240;420;462;584;666
8260;Flaignes-Havys;150;266;276;286;296;533;586;719;812
8200;Fleigneux;170;304;314;324;334;608;668;809;910
8380;Fligny;160;285;295;305;315;570;627;764;861
8160;Flize;150;266;276;286;296;533;586;719;812
8200;Floing;165;294;304;314;324;589;648;787;885
8250;Fléville;135;238;248;258;268;476;524;652;739
8600;Foisches;205;369;379;389;399;739;813;967;1080
8240;Fossé;125;219;229;239;249;439;483;607;690
8220;Fraillicourt;130;229;239;249;259;458;503;629;715
8140;Francheval;175;313;323;333;343;626;689;832;934
8600;Fromelennes;210;379;389;399;409;758;833;989;1105
8370;Fromy;195;351;361;371;381;701;771;922;1032
8170;Fumay;190;341;351;361;371;683;751;899;1007
8170;Fépin;185;332;342;352;362;664;730;877;983
8240;Germont;120;210;220;230;240;420;462;584;666
8440;Gernelle;160;285;295;305;315;570;627;764;861
8700;Gespunsart;165;294;304;314;324;589;648;787;885
8260;Girondelle;155;276;286;296;306;551;606;742;837
8600;Givet;210;379;389;399;409;758;833;989;1105
8200;Givonne;175;313;323;333;343;626;689;832;934
8220;Givron;120;210;220;230;240;420;462;584;666
