cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
02320;Brancourt-en-Laonnois;142;166;196;226;246;333;383;416;466
02110;Brancourt-le-Grand;188;216;246;276;296;432;497;540;605
02400;Brasles;128;151;181;211;231;302;348;378;423
02480;Bray-Saint-Christophe;180;208;238;268;288;415;477;519;581
02880;Braye;127;150;180;210;230;300;345;375;420
02000;Braye-en-Laonnois;125;148;178;208;228;296;340;370;414
02140;Braye-en-Thiérache;143;167;197;227;247;335;385;419;469
02210;Brécy;135;159;189;219;239;318;365;397;445
02220;Brenelle;112;134;164;194;214;268;308;335;375
02210;Breny;136;160;190;220;240;320;368;400;448
02870;Brie;143;167;197;227;247;335;385;419;469
02240;Brissay-Choigny;157;183;213;243;263;365;420;456;511
02240;Brissy-Hamégicourt;159;185;215;245;265;370;425;462;517
02810;Brumetz;144;169;199;229;249;337;388;421;472
02360;Brunehamel;144;169;199;229;249;337;388;421;472
02860;Bruyères-et-Montbérault;126;149;179;209;229;298;343;373;417
02130;Bruyères-sur-Fère;123;146;176;206;226;292;335;364;408
02220;Bruys;109;131;161;191;211;261;300;326;366
02500;Bucilly;161;187;217;247;267;374;430;467;523
02880;Bucy-le-Long;121;144;174;204;224;287;330;359;402
02870;Bucy-lès-Cerny;148;173;203;233;253;346;398;432;484
02350;Bucy-lès-Pierrepont;132;156;186;216;236;311;358;389;435
02500;Buire;167;193;223;253;273;387;445;484;542
02620;Buironfosse;184;212;242;272;292;424;487;530;593
02140;Burelles;157;183;213;243;263;365;420;456;511
02810;Bussiares;136;160;190;220;240;320;368;400;448
02200;Buzancy;120;143;173;203;223;285;328;356;399
02300;Caillouël-Crépigny;176;203;233;263;283;406;467;508;569
02300;Camelin;183;211;241;271;291;422;485;527;590
02680;Castres;168;195;225;255;275;389;447;486;545
02490;Caulaincourt;184;212;242;272;292;424;487;530;593
02300;Caumont;171;198;228;258;278;396;455;494;554
02330;Celles-lès-Condé;72;91;121;151;171;181;208;226;253
02370;Celles-sur-Aisne;119;141;171;201;221;283;325;354;396
02240;Cerizy;167;193;223;253;273;387;445;484;542
02860;Cerny-en-Laonnois;120;143;173;203;223;285;328;356;399
02870;Cerny-lès-Bucy;145;170;200;230;250;339;390;424;475
02220;Cerseuil;111;133;163;193;213;266;305;332;372
02320;Cessières;148;173;203;233;253;346;398;432;484
02200;Chacrise;134;158;188;218;238;315;363;394;441
02000;Chaillevois;147;172;202;232;252;344;395;429;481
02270;Chalandry;140;164;194;224;244;328;378;410;460
02000;Chambry;130;153;183;213;233;307;353;383;429
02860;Chamouille;123;146;176;206;226;292;335;364;408
02670;Champs;172;199;229;259;279;398;457;497;557
02340;Chaourse;133;157;187;217;237;313;360;391;438
02310;Charly-sur-Marne;99;120;150;180;200;240;275;299;335
02800;Charmes;154;179;209;239;259;359;412;448;502
02400;Chartèves;87;107;137;167;187;214;246;267;299
02370;Chassemy;115;137;167;197;217;274;315;343;384
02400;Château-Thierry;95;115;145;175;195;231;265;289;323
02270;Châtillon-lès-Sons;149;174;204;234;254;348;400;435;487
02240;Châtillon-sur-Oise;161;187;217;247;267;374;430;467;523
02160;Chaudardes;110;132;162;192;212;263;303;329;369
02200;Chaudun;137;161;191;221;241;322;370;402;451
02300;Chauny;167;193;223;253;273;387;445;484;542
02000;Chavignon;135;159;189;219;239;318;365;397;445
02880;Chavigny;139;163;193;223;243;326;375;408;457
02370;Chavonne;126;149;179;209;229;298;343;373;417
02860;Chérêt;124;147;177;207;227;294;338;367;411
02860;Chermizy-Ailles;117;139;169;199;219;279;320;348;390
02220;Chéry-Chartreuve;104;125;155;185;205;250;288;313;350
02000;Chéry-lès-Pouilly;139;163;193;223;243;326;375;408;457
02360;Chéry-lès-Rozoy;139;163;193;223;243;326;375;408;457
02250;Chevennes;158;184;214;244;264;367;422;459;514
02000;Chevregny;130;153;183;213;233;307;353;383;429
02270;Chevresis-Monceau;157;183;213;243;263;365;420;456;511
02810;Chézy-en-Orxois;144;169;199;229;249;337;388;421;472
02570;Chézy-sur-Marne;92;112;142;172;192;224;258;280;314
02400;Chierry;93;113;143;173;193;227;260;283;317
02120;Chigny;173;200;230;260;280;400;460;500;560
02350;Chivres-en-Laonnois;131;154;184;214;234;309;355;386;432
02880;Chivres-Val;120;143;173;203;223;285;328;356;399
02000;Chivy-lès-Étouvelles;140;164;194;224;244;328;378;410;460
02210;Chouy;144;169;199;229;249;337;388;421;472
02130;Cierges;113;135;165;195;215;270;310;337;378
02250;Cilly;151;176;206;236;256;352;405;440;493
02220;Ciry-Salsogne;115;137;167;197;217;274;315;343;384
02000;Clacy-et-Thierret;141;165;195;225;245;331;380;413;463
02260;Clairfontaine;182;210;240;270;290;419;482;524;587
02880;Clamecy;185;213;243;273;293;426;490;532;596
02440;Clastres;174;201;231;261;281;402;462;503;563
02340;Clermont-les-Fermes;135;159;189;219;239;318;365;397;445
02600;Cœuvres-et-Valsery;166;192;222;252;272;385;442;481;539
02210;Coincy;133;157;187;217;237;313;360;391;438
02360;Coingt;151;176;206;236;256;352;405;440;493
02860;Colligis-Crandelain;125;148;178;208;228;296;340;370;414
02120;Colonfay;166;192;222;252;272;385;442;481;539
02300;Commenchon;173;200;230;260;280;400;460;500;560
02160;Concevreux;103;124;154;184;204;248;285;310;347
02330;Condé-en-Brie;71;89;119;149;169;179;206;224;250
02370;Condé-sur-Aisne;120;143;173;203;223;285;328;356;399
02190;Condé-sur-Suippe;103;124;154;184;204;248;285;310;347
02700;Condren;163;189;219;249;269;378;435;473;529
02330;Connigis;89;109;139;169;189;218;251;272;305
02680;Contescourt;169;196;226;256;276;391;450;489;548
02820;Corbeny;109;131;161;191;211;261;300;326;366
02600;Corcy;152;177;207;237;257;354;407;443;496
02380;Coucy-la-Ville;153;178;208;238;258;357;410;446;499
02380;Coucy-le-Château-Auffrique;150;175;205;235;255;350;403;438;490
02840;Coucy-lès-Eppes;122;145;175;205;225;289;333;362;405
02130;Coulonges-Cohan;109;131;161;191;211;261;300;326;366
02310;Coupru;105;126;156;186;206;253;290;316;354
02800;Courbes;146;171;201;231;251;341;393;427;478
02330;Courboin;85;105;135;165;185;209;241;261;293
02220;Courcelles-sur-Vesle;105;126;156;186;206;253;290;316;354
02810;Courchamps;138;162;192;222;242;324;373;405;454
02200;Courmelles;156;182;212;242;262;363;417;454;508
02130;Courmont;90;110;140;170;190;220;253;275;308
02850;Courtemont-Varennes;81;100;130;160;180;201;231;251;281
02820;Courtrizy-et-Fussigny;119;141;171;201;221;283;325;354;396
02220;Couvrelles;113;135;165;195;215;270;310;337;378
02270;Couvron-et-Aumencourt;153;178;208;238;258;357;410;446;499
02600;Coyolles;164;190;220;250;270;380;437;475;532
02130;Cramaille;124;147;177;207;227;294;338;367;411
02160;Craonne;112;134;164;194;214;268;308;335;375
02160;Craonnelle;111;133;163;193;213;266;305;332;372
02380;Crécy-au-Mont;136;160;190;220;240;320;368;400;448
