cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
ACC;Aéroport de Charles de Gaules;180;207,5;237,5;267,5;287,5;415;477,25;518,75;581
AO;Aéroport d'Orly;165;191,25;221,25;251,25;271,25;382,5;439,875;478,125;535,5
AB;Aéroport de Beauvais;245;277,9166667;307,9166667;337,9166667;357,9166667;555,8333333;639,2083333;694,7916667;778,1666667
AMN;Aéroport de Metz - Nancy;210;240;270;300;320;480;552;600;672
AL;Aéroport de Lille;270;305;335;365;385;610;701,5;762,5;854
ADJ;Aéroport de Doles-Jura;275;310,4166667;340,4166667;370,4166667;390,4166667;620,8333333;713,9583333;776,0416667;869,1666667
ALUX;Aéroport de Luxembourg;250;283,3333333;313,3333333;343,3333333;363,3333333;566,6666667;651,6666667;708,3333333;793,3333333
