cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
54890;Chambley-Bussières;171;301;316;331;351;601;661;772;832
54280;Champenoux;188;333;348;363;383;665;732;848;911
54700;Champey-sur-Moselle;170;299;314;329;349;598;657;767;827
54250;Champigneulles;171;301;316;331;351;601;661;772;832
54300;Chanteheux;200;355;370;385;405;710;781;902;968
54330;Chaouilley;182;321;336;351;371;643;707;821;883
54260;Charency-Vezin;191;338;353;368;388;676;744;862;925
54470;Charey;164;288;303;318;338;575;633;740;799
54113;Charmes-la-Côte;147;256;271;286;306;511;562;664;719
54360;Charmois;193;342;357;372;392;684;752;871;935
54200;Chaudeney-sur-Moselle;148;258;273;288;308;515;567;668;724
54230;Chavigny;171;301;316;331;351;601;661;772;832
54450;Chazelles-sur-Albe;224;400;415;430;450;800;880;1010;1080
54122;Chenevières;210;374;389;404;424;748;822;947;1014
54610;Chenicourt;192;340;355;370;390;680;748;866;930
54720;Chenières;191;338;353;368;388;676;744;862;925
54200;Choloy-Ménillot;138;239;254;269;289;478;525;623;677
54480;Cirey-sur-Vezouze;234;419;434;449;469;838;921;1055;1127
54290;Clayeures;205;364;379;394;414;729;802;925;991
54610;Clémery;195;346;361;376;396;691;760;880;944
54330;Clérey-sur-Brenon;188;333;348;363;383;665;732;848;911
54370;Coincourt;214;381;396;411;431;763;839;965;1033
54260;Colmey;185;327;342;357;377;654;719;835;897
54170;Colombey-les-Belles;159;278;293;308;328;556;612;718;775
54800;Conflans-en-Jarnisy;171;301;316;331;351;601;661;772;832
54870;Cons-la-Grandville;188;333;348;363;383;665;732;848;911
54400;Cosnes-et-Romain;193;342;357;372;392;684;752;871;935
54110;Courbesseaux;194;344;359;374;394;688;756;875;939
54930;Courcelles;185;327;342;357;377;654;719;835;897
54210;Coyviller;186;329;344;359;379;658;723;839;902
54740;Crantenoy;193;342;357;372;392;684;752;871;935
54170;Crépey;167;293;308;323;343;586;645;754;813
54290;Crévéchamps;188;333;348;363;383;665;732;848;911
54110;Crévic;198;351;366;381;401;703;773;893;958
54113;Crézilles;152;265;280;295;315;530;583;686;743
54300;Crion;204;363;378;393;413;725;798;920;986
54300;Croismare;207;368;383;398;418;736;810;934;1000
54680;Crusnes;196;348;363;378;398;695;765;884;949
54670;Custines;176;310;325;340;360;620;682;794;855
54720;Cutry;189;334;349;364;384;669;736;853;916
54360;Damelevières;191;338;353;368;388;676;744;862;925
54470;Dampvitoux;170;299;314;329;349;598;657;767;827
54120;Deneuvre;223;398;413;428;448;796;876;1006;1075
54370;Deuxville;196;348;363;378;398;695;765;884;949
54930;Diarville;189;334;349;364;384;669;736;853;916
54380;Dieulouard;171;301;316;331;351;601;661;772;832
54170;Dolcourt;167;293;308;323;343;586;645;754;813
54110;Dombasle-sur-Meurthe;188;333;348;363;383;665;732;848;911
54385;Domèvre-en-Haye;166;291;306;321;341;583;641;749;808
54450;Domèvre-sur-Vezouze;222;396;411;426;446;793;872;1001;1071
54119;Domgermain;146;254;269;284;304;508;558;659;714
54450;Domjevin;214;381;396;411;431;763;839;965;1033
54115;Dommarie-Eulmont;180;318;333;348;368;635;699;812;874
54130;Dommartemont;185;327;342;357;377;654;719;835;897
54470;Dommartin-la-Chaussée;172;303;318;333;353;605;666;776;836
54200;Dommartin-lès-Toul;150;261;276;291;311;523;575;677;733
54770;Dommartin-sous-Amance;179;316;331;346;366;631;694;808;869
54490;Domprix;173;304;319;334;354;609;670;781;841
54290;Domptail-en-l'Air;195;346;361;376;396;691;760;880;944
54800;Doncourt-lès-Conflans;179;316;331;346;366;631;694;808;869
54620;Doncourt-lès-Longuyon;174;306;321;336;356;613;674;785;846
54370;Drouville;211;376;391;406;426;751;826;952;1019
54200;Écrouves;143;248;263;278;298;496;546;646;700
54360;Einvaux;202;359;374;389;409;718;789;911;977
54370;Einville-au-Jard;201;357;372;387;407;714;785;907;972
54370;Emberménil;220;393;408;423;443;785;864;992;1061
54260;Épiez-sur-Chiers;181;319;334;349;369;639;703;817;878
54610;Éply;203;361;376;391;411;721;793;916;982
54280;Erbéviller-sur-Amezule;192;340;355;370;390;680;748;866;930
54680;Errouville;194;344;359;374;394;688;756;875;939
54470;Essey-et-Maizerais;152;265;280;295;315;530;583;686;743
54830;Essey-la-Côte;212;378;393;408;428;755;831;956;1024
54270;Essey-lès-Nancy;181;319;334;349;369;639;703;817;878
54330;Étreval;180;318;333;348;368;635;699;812;874
54690;Eulmont;177;312;327;342;362;624;686;799;860
54470;Euvezin;155;271;286;301;321;541;595;700;757
54760;Faulx;180;318;333;348;368;635;699;812;874
54115;Favières;122;209;224;239;259;418;459;551;602
54115;Fécocourt;178;314;329;344;364;628;690;803;864
54540;Fenneviller;231;413;428;443;463;826;909;1042;1113
54210;Ferrières;188;333;348;363;383;665;732;848;911
54470;Fey-en-Haye;159;278;293;308;328;556;612;718;775
54560;Fillières;184;325;340;355;375;650;715;830;893
54110;Flainval;191;338;353;368;388;676;744;862;925
54630;Flavigny-sur-Moselle;179;316;331;346;366;631;694;808;869
54710;Fléville-devant-Nancy;176;310;325;340;360;620;682;794;855
54150;Fléville-Lixières;167;293;308;323;343;586;645;754;813
54122;Flin;220;393;408;423;443;785;864;992;1061
54470;Flirey;147;256;271;286;306;511;562;664;719
54122;Fontenoy-la-Joûte;222;396;411;426;446;793;872;1001;1071
54840;Fontenoy-sur-Moselle;155;271;286;301;321;541;595;700;757
54330;Forcelles-Saint-Gorgon;180;318;333;348;368;635;699;812;874
54930;Forcelles-sous-Gugney;190;336;351;366;386;673;740;857;921
54570;Foug;134;231;246;261;281;463;509;605;658
54300;Fraimbois;206;366;381;396;416;733;806;929;996
54930;Fraisnes-en-Saintois;186;329;344;359;379;658;723;839;902
54200;Francheville;156;273;288;303;323;545;600;704;761
54830;Franconville;180;318;333;348;368;635;699;812;874
54450;Fréménil;215;383;398;413;433;766;843;970;1038
54450;Frémonville;229;409;424;439;459;819;901;1033;1103
54260;Fresnois-la-Montagne;181;319;334;349;369;639;703;817;878
54800;Friauville;162;284;299;314;334;568;624;731;789
54160;Frolois;176;310;325;340;360;620;682;794;855
54390;Frouard;173;304;319;334;354;609;670;781;841
54290;Froville;201;357;372;387;407;714;785;907;972
54120;Gélacourt;223;398;413;428;448;796;876;1006;1075
54115;Gélaucourt;174;306;321;336;356;613;674;785;846
54110;Gellenoncourt;191;338;353;368;388;676;744;862;925
54115;Gémonville;175;308;323;338;358;616;678;790;850
54740;Gerbécourt-et-Haplemont;190;336;351;366;386;673;740;857;921
54830;Gerbéviller;208;370;385;400;420;740;814;938;1005
54170;Germiny;170;299;314;329;349;598;657;767;827
54740;Germonville;199;353;368;383;403;706;777;898;963
54380;Gézoncourt;159;278;293;308;328;556;612;718;775
54112;Gibeaumeix;140;243;258;273;293;485;534;632;686
54780;Giraumont;173;304;319;334;354;609;670;781;841
54830;Giriviller;211;376;391;406;426;751;826;952;1019
54122;Glonville;219;391;406;421;441;781;859;988;1057
54450;Gogney;227;406;421;436;456;811;892;1024;1094
54800;Gondrecourt-Aix;165;289;304;319;339;579;637;745;803
54840;Gondreville;151;263;278;293;313;526;579;682;738
54450;Gondrexon;222;396;411;426;446;793;872;1001;1071
54730;Gorcy;187;331;346;361;381;661;727;844;907
54330;Goviller;170;299;314;329;349;598;657;767;827
54260;Grand-Failly;171;301;316;331;351;601;661;772;832
54115;Grimonviller;180;318;333;348;368;635;699;812;874
54290;Gripport;199;353;368;383;403;706;777;898;963
54380;Griscourt;170;299;314;329;349;598;657;767;827
54470;Grosrouvres;148;258;273;288;308;515;567;668;724
54930;Gugney;190;336;351;366;386;673;740;857;921
54113;Gye;145;252;267;282;302;504;554;655;710
54120;Hablainville;219;391;406;421;441;781;859;988;1057
54470;Hagéville;173;304;319;334;354;609;670;781;841
54290;Haigneville;199;353;368;383;403;706;777;898;963
54450;Halloville;229;409;424;439;459;819;901;1033;1103
54330;Hammeville;175;308;323;338;358;616;678;790;850
54470;Hamonville;145;252;267;282;302;504;554;655;710
54620;Han-devant-Pierrepont;175;308;323;338;358;616;678;790;850
54800;Hannonville-Suzémont;161;282;297;312;332;564;620;727;785
54110;Haraucourt;175;308;323;338;358;616;678;790;850
54450;Harbouey;229;409;424;439;459;819;901;1033;1103
54740;Haroué;191;338;353;368;388;676;744;862;925
54800;Hatrize;166;291;306;321;341;583;641;749;808
54860;Haucourt-Moulaine;194;344;359;374;394;688;756;875;939
54830;Haudonville;209;372;387;402;422;744;818;943;1010
54290;Haussonville;193;342;357;372;392;684;752;871;935
54180;Heillecourt;176;310;325;340;360;620;682;794;855
54370;Hénaménil;208;370;385;400;420;740;814;938;1005
54450;Herbéviller;218;389;404;419;439;778;855;983;1052
54300;Hériménil;198;351;366;381;401;703;773;893;958
54440;Herserange;199;353;368;383;403;706;777;898;963
54370;Hoéville;196;348;363;378;398;695;765;884;949
54310;Homécourt;177;312;327;342;362;624;686;799;860
54330;Houdelmont;179;316;331;346;366;631;694;808;869
54180;Houdemont;175;308;323;338;358;616;678;790;850
54330;Houdreville;179;316;331;346;366;631;694;808;869
54930;Housséville;190;336;351;366;386;673;740;857;921
54110;Hudiviller;189;334;349;364;384;669;736;853;916
54590;Hussigny-Godbrange;200;355;370;385;405;710;781;902;968
54450;Igney;221;394;409;424;444;789;868;997;1066
54200;Jaillon;159;278;293;308;328;556;612;718;775
54800;Jarny;171;301;316;331;351;601;661;772;832
54140;Jarville-la-Malgrange;179;316;331;346;366;631;694;808;869
54470;Jaulny;164;288;303;318;338;575;633;740;799
54114;Jeandelaincourt;193;342;357;372;392;684;752;871;935
54800;Jeandelize;159;278;293;308;328;556;612;718;775
54740;Jevoncourt;203;361;376;391;411;721;793;916;982
54700;Jezainville;177;312;327;342;362;624;686;799;860
54240;Jœuf;176;310;325;340;360;620;682;794;855
54300;Jolivet;206;366;381;396;416;733;806;929;996
54620;Joppécourt;185;327;342;357;377;654;719;835;897
54800;Jouaville;176;310;325;340;360;620;682;794;855
54490;Joudreville;170;299;314;329;349;598;657;767;827
54370;Juvrecourt;214;381;396;411;431;763;839;965;1033
54800;Labry;169;297;312;327;347;594;653;763;822
54120;Lachapelle;223;398;413;428;448;796;876;1006;1075
54200;Lagney;143;248;263;278;298;496;546;646;700
54770;Laître-sous-Amance;181;319;334;349;369;639;703;817;878
54720;Laix;183;323;338;353;373;646;711;826;888
54115;Lalœuf;175;308;323;338;358;616;678;790;850
54300;Lamath;203;361;376;391;411;721;793;916;982
54360;Landécourt;207;368;383;398;418;736;810;934;1000
54380;Landremont;177;312;327;342;362;624;686;799;860
54970;Landres;173;304;319;334;354;609;670;781;841
54280;Laneuvelotte;184;325;340;355;375;650;715;830;893
54370;Laneuveville-aux-Bois;216;385;400;415;435;770;847;974;1043
54570;Laneuveville-derrière-Foug;139;241;256;271;291;481;529;628;682
54740;Laneuveville-devant-Bayon;193;342;357;372;392;684;752;871;935
54410;Laneuveville-devant-Nancy;182;321;336;351;371;643;707;821;883
54760;Lanfroicourt;188;333;348;363;383;665;732;848;911
54150;Lantéfontaine;173;304;319;334;354;609;670;781;841
54950;Laronxe;212;378;393;408;428;755;831;956;1024
54520;Laxou;166;291;306;321;341;583;641;749;808
54690;Lay-Saint-Christophe;175;308;323;338;358;616;678;790;850
54570;Lay-Saint-Remy;134;231;246;261;281;463;509;605;658
54740;Lebeuville;196;348;363;378;398;695;765;884;949
54450;Leintrey;225;402;417;432;452;804;884;1015;1085
54740;Lemainville;187;331;346;361;381;661;727;844;907
54740;Leménil-Mitry;194;344;359;374;394;688;756;875;939
54110;Lenoncourt;188;333;348;363;383;665;732;848;911
54700;Lesménils;196;348;363;378;398;695;765;884;949
54610;Létricourt;194;344;359;374;394;688;756;875;939
54720;Lexy;191;338;353;368;388;676;744;862;925
54760;Leyr;186;329;344;359;379;658;723;839;902
54470;Limey-Remenauville;152;265;280;295;315;530;583;686;743
54470;Lironville;152;265;280;295;315;530;583;686;743
54460;Liverdun;166;291;306;321;341;583;641;749;808
54700;Loisy;162;284;299;314;334;568;624;731;789
54810;Longlaville;198;351;366;381;401;703;773;893;958
54260;Longuyon;172;303;318;333;353;605;666;776;836
54400;Longwy;194;344;359;374;394;688;756;875;939
54290;Lorey;204;363;378;393;413;725;798;920;986
54290;Loromontzey;207;368;383;398;418;736;810;934;1000
54150;Lubey;170;299;314;329;349;598;657;767;827
54200;Lucey;142;246;261;276;296;493;542;641;696
54710;Ludres;174;306;321;336;356;613;674;785;846
54300;Lunéville;197;349;364;379;399;699;769;889;953
54210;Lupcourt;182;321;336;351;371;643;707;821;883
54129;Magnières;217;387;402;417;437;774;851;979;1047
54700;Maidières;162;284;299;314;334;568;624;731;789
54610;Mailly-sur-Seille;207;368;383;398;418;736;810;934;1000
54150;Mairy-Mainville;183;323;338;353;373;646;711;826;888
54370;Maixe;199;353;368;383;403;706;777;898;963
