cp;nom;distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
89320;Coulours;127;150;180;210;230;300;345;375;420
89190;Courgenay;126;149;179;209;229;298;343;373;417
89800;Courgis;145;170;200;230;250;339;390;424;475
89140;Courlon-sur-Yonne;112;134;164;194;214;268;308;335;375
89560;Courson-les-Carrières;165;191;221;251;271;383;440;478;536
89150;Courtoin;162;188;218;248;268;376;432;470;526
89100;Courtois-sur-Yonne;149;174;204;234;254;348;400;435;487
89440;Coutarnoux;162;188;218;248;268;376;432;470;526
89480;Crain;177;204;234;264;284;409;470;511;572
89460;Cravant;160;186;216;246;266;372;427;465;520
89740;Cruzy-le-Châtel;119;141;171;201;221;283;325;354;396
89390;Cry;152;177;207;237;257;354;407;443;496
89116;Cudot;182;210;240;270;290;419;482;524;587
89420;Cussy-les-Forges;174;201;231;261;281;402;462;503;563
89140;Cuy;146;171;201;231;251;341;393;427;478
89700;Dannemoine;124;147;177;207;227;294;338;367;411
89120;Dicy;194;223;253;283;303;445;512;557;623
89240;Diges;160;186;216;246;266;372;427;465;520
89440;Dissangis;163;189;219;249;269;378;435;473;529
89500;Dixmont;145;170;200;230;250;339;390;424;475
89150;Dollot;170;197;227;257;277;393;452;492;551
89150;Domats;166;192;222;252;272;385;442;481;539
89450;Domecy-sur-Cure;184;212;242;272;292;424;487;530;593
89200;Domecy-sur-le-Vault;172;199;229;259;279;398;457;497;557
89130;Dracy;192;221;251;281;301;441;507;551;617
89560;Druyes-les-Belles-Fontaines;176;203;233;263;283;406;467;508;569
89360;Dyé;123;146;176;206;226;292;335;364;408
89240;Égleny;206;236;266;296;316;471;542;589;660
89500;Égriselles-le-Bocage;161;187;217;247;267;374;430;467;523
89400;Épineau-les-Voves;137;161;191;221;241;322;370;402;451
89700;Épineuil;119;141;171;201;221;283;325;354;396
89240;Escamps;154;179;209;239;259;359;412;448;502
89290;Escolives-Sainte-Camille;152;177;207;237;257;354;407;443;496
89210;Esnon;128;151;181;211;231;302;348;378;423
89480;Étais-la-Sauvin;184;212;242;272;292;424;487;530;593
89200;Étaule;166;192;222;252;272;385;442;481;539
89510;Étigny;158;184;214;244;264;367;422;459;514
89310;Étivey;150;175;205;235;255;350;403;438;490
89140;Évry;114;136;166;196;216;272;313;340;381
89110;La Ferté-Loupière;188;216;246;276;296;432;497;540;605
89480;Festigny;182;210;240;270;290;419;482;524;587
89190;Flacy;117;139;169;199;219;279;320;348;390
89113;Fleury-la-Vallée;147;172;202;232;252;344;395;429;481
89800;Fleys;133;157;187;217;237;313;360;391;438
89360;Flogny-la-Chapelle;116;138;168;198;218;276;318;345;387
89450;Foissy-lès-Vézelay;179;206;236;266;286;413;475;516;578
89190;Foissy-sur-Vanne;122;145;175;205;225;289;333;362;405
89100;Fontaine-la-Gaillarde;133;157;187;217;237;313;360;391;438
89130;Fontaines;216;247;277;307;327;493;567;616;690
89560;Fontenailles;115;137;167;197;217;274;315;343;384
89800;Fontenay-près-Chablis;138;162;192;222;242;324;373;405;454
89450;Fontenay-près-Vézelay;183;211;241;271;291;422;485;527;590
89660;Fontenay-sous-Fouronnes;167;193;223;253;273;387;445;484;542
89120;Fontenouilles;191;219;249;279;299;439;505;549;614
89520;Fontenoy;220;251;281;311;331;502;577;627;702
89150;Fouchères;86;106;136;166;186;211;243;264;296
89320;Fournaudin;126;149;179;209;229;298;343;373;417
89560;Fouronnes;169;196;226;256;276;391;450;489;548
89310;Fresnes;134;158;188;218;238;315;363;394;441
89160;Fulvy;143;167;197;227;247;335;385;419;469
89600;Germigny;119;141;171;201;221;283;325;354;396
89160;Gigny;140;164;194;224;244;328;378;410;460
89200;Girolles;199;228;258;288;308;456;525;570;639
89140;Gisy-les-Nobles;150;175;205;235;255;350;403;438;490
89200;Givry;168;195;225;255;275;389;447;486;545
89740;Gland;126;149;179;209;229;298;343;373;417
89350;Grandchamp;203;232;262;292;312;465;535;581;651
89310;Grimault;149;174;204;234;254;348;400;435;487
89100;Gron;157;183;213;243;263;365;420;456;511
89113;Guerchy;147;172;202;232;252;344;395;429;481
89420;Guillon;170;197;227;257;277;393;452;492;551
89250;Gurgy;140;164;194;224;244;328;378;410;460
89580;Gy-l'Évêque;152;177;207;237;257;354;407;443;496
89250;Hauterive;131;154;184;214;234;309;355;386;432
89550;Héry;130;153;183;213;233;307;353;383;429
89290;Irancy;156;182;212;242;262;363;417;454;508
89200;Island;170;197;227;257;277;393;452;492;551
89440;L'Isle-sur-Serein;158;184;214;244;264;367;422;459;514
89360;Jaulges;122;145;175;205;225;289;333;362;405
89300;Joigny;159;185;215;245;265;370;425;462;517
89310;Jouancy;148;173;203;233;253;346;398;432;484
89440;Joux-la-Ville;152;177;207;237;257;354;407;443;496
89150;Jouy;160;186;216;246;266;372;427;465;520
89160;Jully;140;164;194;224;244;328;378;410;460
89700;Junay;124;147;177;207;227;294;338;367;411
89290;Jussy;178;205;235;265;285;411;472;513;575
89110;Laduz;199;228;258;288;308;456;525;570;639
89190;Lailly;120;143;173;203;223;285;328;356;399
89560;Lain;168;195;225;255;275;389;447;486;545
89520;Lainsecq;185;213;243;273;293;426;490;532;596
89130;Lalande;210;240;270;300;320;480;552;600;672
89400;Laroche-Saint-Cydroine;135;159;189;219;239;318;365;397;445
89570;Lasson;106;127;157;187;207;255;293;318;357
89170;Lavau;191;219;249;279;299;439;505;549;614
89130;Leugny;163;189;219;249;269;378;435;473;529
89520;Levis;183;211;241;271;291;422;485;527;590
89160;Lézinnes;131;154;184;214;234;309;355;386;432
89800;Lichères-près-Aigremont;145;170;200;230;250;339;390;424;475
89660;Lichères-sur-Yonne;183;211;241;271;291;422;485;527;590
89800;Lignorelles;134;158;188;218;238;315;363;394;441
89144;Ligny-le-Châtel;128;151;181;211;231;302;348;378;423
89240;Lindry;154;179;209;239;259;359;412;448;502
89140;Lixy;150;175;205;235;255;350;403;438;490
89300;Looze;140;164;194;224;244;328;378;410;460
89200;Lucy-le-Bois;160;186;216;246;266;372;427;465;520
89270;Lucy-sur-Cure;160;186;216;246;266;372;427;465;520
89480;Lucy-sur-Yonne;180;208;238;268;288;415;477;519;581
89200;Magny;171;198;228;258;278;396;455;494;554
89100;Maillot;140;164;194;224;244;328;378;410;460
89270;Mailly-la-Ville;168;195;225;255;275;389;447;486;545
89660;Mailly-le-Château;171;198;228;258;278;396;455;494;554
89100;Malay-le-Grand;137;161;191;221;241;322;370;402;451
89100;Malay-le-Petit;133;157;187;217;237;313;360;391;438
89120;Malicorne;189;217;247;277;297;435;500;543;608
89800;Maligny;132;156;186;216;236;311;358;389;435
89120;Marchais-Beton;189;217;247;277;297;435;500;543;608
89420;Marmeaux;162;188;218;248;268;376;432;470;526
89500;Marsangy;161;187;217;247;267;374;430;467;523
89440;Massangis;152;177;207;237;257;354;407;443;496
89430;Mélisey;119;141;171;201;221;283;325;354;396
89450;Menades;178;205;235;265;285;411;472;513;575
89210;Mercy;125;148;178;208;228;296;340;370;414
89144;Méré;131;154;184;214;234;309;355;386;432
89110;Merry-la-Vallée;163;189;219;249;269;378;435;473;529
89560;Merry-Sec;161;187;217;247;267;374;430;467;523
89660;Merry-sur-Yonne;174;201;231;261;281;402;462;503;563
89130;Mézilles;176;203;233;263;283;406;467;508;569
89140;Michery;120;143;173;203;223;285;328;356;399
89580;Migé;163;189;219;249;269;378;435;473;529
89400;Migennes;133;157;187;217;237;313;360;391;438
89310;Môlay;147;172;202;232;252;344;395;429;481
89560;Molesmes;124;147;177;207;227;294;338;367;411
89190;Molinons;120;143;173;203;223;285;328;356;399
89700;Molosmes;123;146;176;206;226;292;335;364;408
89470;Monéteau;138;162;192;222;242;324;373;405;454
89150;Montacher-Villegardin;156;182;212;242;262;363;417;454;508
89230;Montigny-la-Resle;132;156;186;216;236;311;358;389;435
89660;Montillot;174;201;231;261;281;402;462;503;563
89420;Montréal;167;193;223;253;273;387;445;484;542
89250;Mont-Saint-Sulpice;126;149;179;209;229;298;343;373;417
89560;Mouffy;166;192;222;252;272;385;442;481;539
89310;Moulins-en-Tonnerrois;152;177;207;237;257;354;407;443;496
89130;Moulins-sur-Ouanne;170;197;227;257;277;393;452;492;551
89520;Moutiers-en-Puisaye;185;213;243;273;293;426;490;532;596
89100;Nailly;151;176;206;236;256;352;405;440;493
89113;Neuilly;142;166;196;226;246;333;383;416;466
89570;Neuvy-Sautour;109;131;161;191;211;261;300;326;366
89310;Nitry;146;171;201;231;251;341;393;427;478
89320;Noé;135;159;189;219;239;318;365;397;445
89310;Noyers;151;176;206;236;256;352;405;440;493
89390;Nuits;154;179;209;239;259;359;412;448;502
89110;Les Ormes;164;190;220;250;270;380;437;475;532
89400;Ormoy;135;159;189;219;239;318;365;397;445
89560;Ouanne;166;192;222;252;272;385;442;481;539
