cp;nom;distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16;17-31;32-54
59166;Bousbecque;292;590;605;615;630;1 180;1 356;1 495;1 653
59222;Bousies;200;400;415;425;440;800;920;1 040;1 160
59178;Bousignies;245;493;508;518;533;986;1 133;1 263;1 401
59149;Bousignies-sur-Roc;217;435;450;460;475;870;1 001;1 124;1 251
59217;Boussières-en-Cambrésis;220;441;456;466;481;883;1 015;1 139;1 267
59330;Boussières-sur-Sambre;209;419;434;444;459;837;963;1 085;1 208
59168;Boussois;222;445;460;470;485;891;1 024;1 149;1 278
59870;Bouvignies;250;503;518;528;543;1 006;1 157;1 288;1 428
59830;Bouvines;280;565;580;590;605;1 130;1 300;1 436;1 589
59123;Bray-Dunes;346;701;716;726;741;1 402;1 613;1 763;1 943
59730;Briastre;207;414;429;439;454;829;953;1 075;1 198
59178;Brillon;245;493;508;518;533;986;1 133;1 263;1 401
59630;Brouckerque;338;685;700;710;725;1 369;1 575;1 723;1 900
59470;Broxeele;331;670;685;695;710;1 340;1 541;1 688;1 862
59860;Bruay-sur-l'Escaut;254;511;526;536;551;1 023;1 176;1 307;1 450
59490;Bruille-lez-Marchiennes;245;493;508;518;533;986;1 133;1 263;1 401
59199;Bruille-Saint-Amand;267;538;553;563;578;1 076;1 238;1 372;1 519
59151;Brunémont;224;450;465;475;490;899;1 034;1 159;1 289
59144;Bry;256;516;531;541;556;1 031;1 186;1 317;1 460
59151;Bugnicourt;224;450;465;475;490;899;1 034;1 159;1 289
59137;Busigny;189;377;392;402;417;755;868;986;1 101
59285;Buysscheure;326;660;675;685;700;1 320;1 518;1 664;1 836
59190;Caëstre;300;606;621;631;646;1 213;1 394;1 535;1 696
59161;Cagnoncles;219;439;454;464;479;878;1 010;1 134;1 262
59400;Cambrai;215;431;446;456;471;862;991;1 114;1 240
59133;Camphin-en-Carembault;259;522;537;547;562;1 043;1 200;1 332;1 476
59780;Camphin-en-Pévèle;279;563;578;588;603;1 126;1 295;1 431;1 584
59267;Cantaing-sur-Escaut;210;421;436;446;461;841;967;1 090;1 214
59169;Cantin;228;458;473;483;498;916;1 053;1 179;1 310
59213;Capelle;249;501;516;526;541;1 002;1 152;1 283;1 423
59160;Capinghem;284;573;588;598;613;1 147;1 318;1 456;1 610
59630;Cappelle-Brouck;333;674;689;699;714;1 349;1 551;1 698;1 873
