cp;nom;distance;01-févr;03-avr;05-juin;07-août;09-déc;13-16;17-31;32-54
59246;Mons-en-Pévèle;259;522;537;547;562;1 043;1 200;1 332;1 476
59360;Montay;195;390;405;415;430;779;896;1 015;1 133
59225;Montigny-en-Cambrésis;207;414;429;439;454;829;953;1 075;1 198
59182;Montigny-en-Ostrevent;251;505;520;530;545;1 010;1 162;1 292;1 433
59227;Montrécourt;238;478;493;503;518;957;1 100;1 228;1 364
59190;Morbecque;296;598;613;623;638;1 196;1 375;1 515;1 675
59158;Mortagne-du-Nord;261;526;541;551;566;1 052;1 209;1 342;1 487
59310;Mouchin;274;553;568;578;593;1 105;1 271;1 406;1 557
59132;Moustier-en-Fagne;191;381;396;406;421;763;877;995;1 112
59420;Mouvaux;286;577;592;602;617;1 155;1 328;1 466;1 621
59161;Naves;221;443;458;468;483;887;1 020;1 144;1 273
59940;Neuf-Berquin;287;579;594;604;619;1 159;1 333;1 471;1 627
59330;Neuf-Mesnil;213;427;442;452;467;854;982;1 104;1 230
59239;La Neuville;259;522;537;547;562;1 043;1 200;1 332;1 476
59218;Neuville-en-Avesnois;207;414;429;439;454;829;953;1 075;1 198
59960;Neuville-en-Ferrain;289;584;599;609;624;1 167;1 342;1 481;1 637
59554;Neuville-Saint-Rémy;217;435;450;460;475;870;1 001;1 124;1 251
59293;Neuville-sur-Escaut;230;462;477;487;502;924;1 062;1 189;1 321
59360;Neuvilly;198;396;411;421;436;792;911;1 030;1 149
59850;Nieppe;294;594;609;619;634;1 188;1 366;1 505;1 664
59400;Niergnies;212;425;440;450;465;850;977;1 099;1 224
59143;Nieurlet;321;650;665;675;690;1 299;1 494;1 639;1 809
59230;Nivelle;257;518;533;543;558;1 035;1 190;1 322;1 466
59310;Nomain;270;544;559;569;584;1 089;1 252;1 387;1 535
59670;Noordpeene;310;627;642;652;667;1 254;1 442;1 585;1 750
59139;Noyelles-lès-Seclin;266;536;551;561;576;1 072;1 233;1 367;1 514
59159;Noyelles-sur-Escaut;208;417;432;442;457;833;958;1 080;1 203
59550;Noyelles-sur-Sambre;203;406;421;431;446;812;934;1 055;1 176
59282;Noyelles-sur-Selle;231;464;479;489;504;928;1 067;1 193;1 326
59570;Obies;217;435;450;460;475;870;1 001;1 124;1 251
59680;Obrechies;211;423;438;448;463;845;972;1 094;1 219
59670;Ochtezeele;311;629;644;654;669;1 258;1 447;1 589;1 755
59970;Odomez;265;534;549;559;574;1 068;1 228;1 362;1 509
59132;Ohain;183;365;380;390;405;730;839;956;1 069
59195;Oisy;239;480;495;505;520;961;1 105;1 233;1 369
59264;Onnaing;252;507;522;532;547;1 015;1 167;1 297;1 439
59122;Oost-Cappel;329;666;681;691;706;1 332;1 532;1 679;1 852
59310;Orchies;267;538;553;563;578;1 076;1 238;1 372;1 519
59360;Ors;185;369;384;394;409;738;849;966;1 080
59530;Orsinval;254;511;526;536;551;1 023;1 176;1 307;1 450
59162;Ostricourt;253;509;524;534;549;1 019;1 171;1 302;1 444
59670;Oudezeele;325;658;673;683;698;1 316;1 513;1 659;1 830
59670;Oxelaëre;305;617;632;642;657;1 233;1 418;1 560;1 723
59295;Paillencourt;224;450;465;475;490;899;1 034;1 159;1 289
59146;Pecquencourt;247;497;512;522;537;994;1 143;1 273;1 412
59840;Pérenchies;285;575;590;600;615;1 151;1 323;1 461;1 616
59273;Péronne-en-Mélantois;271;546;561;571;586;1 093;1 257;1 391;1 541
59494;Petite-Forêt;242;487;502;512;527;973;1 119;1 248;1 385
59244;Petit-Fayt;200;400;415;425;440;800;920;1 040;1 160
59133;Phalempin;260;524;539;549;564;1 048;1 205;1 337;1 482
59284;Pitgam;345;699;714;724;739;1 398;1 608;1 758;1 938
59218;Poix-du-Nord;204;408;423;433;448;817;939;1 060;1 181
59360;Pommereuil;196;392;407;417;432;784;901;1 020;1 139
59710;Pont-à-Marcq;266;536;551;561;576;1 072;1 233;1 367;1 514
59138;Pont-sur-Sambre;212;425;440;450;465;850;977;1 099;1 224
59530;Potelle;211;423;438;448;463;845;972;1 094;1 219
59190;Pradelles;309;625;640;650;665;1 250;1 437;1 580;1 745
59840;Prémesques;285;575;590;600;615;1 151;1 323;1 461;1 616
59990;Préseau;248;499;514;524;539;998;1 148;1 278;1 417
59288;Preux-au-Bois;199;398;413;423;438;796;915;1 035;1 155
59144;Preux-au-Sart;257;518;533;543;558;1 035;1 190;1 322;1 466
59550;Prisches;194;388;403;413;428;775;892;1 010;1 128
59121;Prouvy;239;480;495;505;520;961;1 105;1 233;1 369
59267;Proville;217;435;450;460;475;870;1 001;1 124;1 251
59185;Provin;261;526;541;551;566;1 052;1 209;1 342;1 487
59380;Quaëdypre;332;672;687;697;712;1 345;1 546;1 693;1 868
59243;Quarouble;253;509;524;534;549;1 019;1 171;1 302;1 444
59269;Quérénaing;247;497;512;522;537;994;1 143;1 273;1 412
59530;Le Quesnoy;210;421;436;446;461;841;967;1 090;1 214
59890;Quesnoy-sur-Deûle;291;588;603;613;628;1 175;1 352;1 490;1 648
59680;Quiévelon;208;417;432;442;457;833;958;1 080;1 203
59920;Quiévrechain;258;520;535;545;560;1 039;1 195;1 327;1 471
59214;Quiévy;224;450;465;475;490;899;1 034;1 159;1 289
59194;Râches;257;518;533;543;558;1 035;1 190;1 322;1 466
59320;Radinghem-en-Weppes;285;575;590;600;615;1 151;1 323;1 461;1 616
59554;Raillencourt-Sainte-Olle;217;435;450;460;475;870;1 001;1 124;1 251
59283;Raimbeaucourt;257;518;533;543;558;1 035;1 190;1 322;1 466
59177;Rainsars;194;388;403;413;428;775;892;1 010;1 128
59590;Raismes;246;495;510;520;535;990;1 138;1 268;1 407
59161;Ramillies;217;435;450;460;475;870;1 001;1 124;1 251
59177;Ramousies;199;398;413;423;438;796;915;1 035;1 155
59530;Raucourt-au-Bois;205;410;425;435;450;821;944;1 065;1 187
59245;Recquignies;218;437;452;462;477;874;1 005;1 129;1 257
59360;Rejet-de-Beaulieu;185;369;384;394;409;738;849;966;1 080
59173;Renescure;312;631;646;656;671;1 262;1 451;1 594;1 761
59980;Reumont;207;414;429;439;454;829;953;1 075;1 198
59122;Rexpoëde;331;670;685;695;710;1 340;1 541;1 688;1 862
59159;Ribécourt-la-Tour;204;408;423;433;448;817;939;1 060;1 181
59870;Rieulay;244;491;506;516;531;982;1 129;1 258;1 396
59277;Rieux-en-Cambrésis;230;462;477;487;502;924;1 062;1 189;1 321
59550;Robersart;199;398;413;423;438;796;915;1 035;1 155
59172;Rœulx;232;466;481;491;506;932;1 072;1 198;1 332
59990;Rombies-et-Marchipont;253;509;524;534;549;1 019;1 171;1 302;1 444
59730;Romeries;207;414;429;439;454;829;953;1 075;1 198
59790;Ronchin;269;542;557;567;582;1 085;1 247;1 382;1 530
59223;Roncq;288;582;597;607;622;1 163;1 337;1 476;1 632
59286;Roost-Warendin;259;522;537;547;562;1 043;1 200;1 332;1 476
59230;Rosult;259;522;537;547;562;1 043;1 200;1 332;1 476
59100;Roubaix;284;573;588;598;613;1 147;1 318;1 456;1 610
59169;Roucourt;231;464;479;489;504;928;1 067;1 193;1 326
59131;Rousies;214;429;444;454;469;858;986;1 109;1 235
59220;Rouvignies;238;478;493;503;518;957;1 100;1 228;1 364
59285;Rubrouck;327;662;677;687;702;1 324;1 522;1 669;1 841
59258;Les Rues-des-Vignes;203;406;421;431;446;812;934;1 055;1 176
59530;Ruesnes;250;503;518;528;543;1 006;1 157;1 288;1 428
59226;Rumegies;264;532;547;557;572;1 064;1 224;1 357;1 503
59281;Rumilly-en-Cambrésis;205;410;425;435;450;821;944;1 065;1 187
59554;Sailly-lez-Cambrai;214;429;444;454;469;858;986;1 109;1 235
59390;Sailly-lez-Lannoy;282;569;584;594;609;1 138;1 309;1 446;1 600
59262;Sainghin-en-Mélantois;274;553;568;578;593;1 105;1 271;1 406;1 557
59184;Sainghin-en-Weppes;265;534;549;559;574;1 068;1 228;1 362;1 509
59177;Sains-du-Nord;193;386;401;411;426;771;887;1 005;1 122
59230;Saint-Amand-les-Eaux;253;509;524;534;549;1 019;1 171;1 302;1 444
59350;Saint-André-lez-Lille;278;561;576;586;601;1 122;1 290;1 426;1 578
59188;Saint-Aubert;236;474;489;499;514;949;1 091;1 218;1 353
59440;Saint-Aubin;188;375;390;400;415;751;863;981;1 096
59163;Saint-Aybert;260;524;539;549;564;1 048;1 205;1 337;1 482
59360;Saint-Benin;192;384;399;409;424;767;882;1 000;1 117
59820;Saint-Georges-sur-l'Aa;343;695;710;720;735;1 390;1 598;1 748;1 927
59292;Saint-Hilaire-lez-Cambrai;224;450;465;475;490;899;1 034;1 159;1 289
59440;Saint-Hilaire-sur-Helpe;196;392;407;417;432;784;901;1 020;1 139
59270;Saint-Jans-Cappel;308;623;638;648;663;1 246;1 432;1 575;1 739
59670;Sainte-Marie-Cappel;307;621;636;646;661;1 241;1 428;1 570;1 734
59213;Saint-Martin-sur-Écaillon;246;495;510;520;535;990;1 138;1 268;1 407
59143;Saint-Momelin;319;645;660;670;685;1 291;1 485;1 629;1 798
59630;Saint-Pierre-Brouck;328;664;679;689;704;1 328;1 527;1 674;1 846
59730;Saint-Python;230;462;477;487;502;924;1 062;1 189;1 321
59620;Saint-Remy-Chaussée;201;402;417;427;442;804;925;1 045;1 165
59330;Saint-Remy-du-Nord;215;431;446;456;471;862;991;1 114;1 240
59880;Saint-Saulve;251;505;520;530;545;1 010;1 162;1 292;1 433
59360;Saint-Souplet;190;379;394;404;419;759;873;991;1 106
59114;Saint-Sylvestre-Cappel;314;635;650;660;675;1 270;1 461;1 604;1 771
59188;Saint-Vaast-en-Cambrésis;225;452;467;477;492;903;1 039;1 164;1 294
59570;Saint-Waast;265;534;549;559;574;1 068;1 228;1 362;1 509
59218;Salesches;207;414;429;439;454;829;953;1 075;1 198
59496;Salomé;269;542;557;567;582;1 085;1 247;1 382;1 530
59310;Saméon;260;524;539;549;564;1 048;1 205;1 337;1 482
59268;Sancourt;217;435;450;460;475;870;1 001;1 124;1 251
59211;Santes;271;546;561;571;586;1 093;1 257;1 391;1 541
59230;Sars-et-Rosières;258;520;535;545;560;1 039;1 195;1 327;1 471
59216;Sars-Poteries;203;406;421;431;446;812;934;1 055;1 176
59145;Sassegnies;206;412;427;437;452;825;948;1 070;1 192
59990;Saultain;246;495;510;520;535;990;1 138;1 268;1 407
59227;Saulzoir;237;476;491;501;516;953;1 096;1 223;1 358
59990;Sebourg;254;511;526;536;551;1 023;1 176;1 307;1 450
59113;Seclin;262;528;543;553;568;1 056;1 214;1 347;1 492
59440;Sémeries;195;390;405;415;430;779;896;1 015;1 133
59440;Semousies;199;398;413;423;438;796;915;1 035;1 155
59174;La Sentinelle;240;483;498;508;523;965;1 110;1 238;1 375
59269;Sepmeries;251;505;520;530;545;1 010;1 162;1 292;1 433
59320;Sequedin;282;569;584;594;609;1 138;1 309;1 446;1 600
59400;Séranvillers-Forenville;208;417;432;442;457;833;958;1 080;1 203
59173;Sercus;296;598;613;623;638;1 196;1 375;1 515;1 675
59450;Sin-le-Noble;234;470;485;495;510;940;1 081;1 208;1 342
59380;Socx;337;683;698;708;723;1 365;1 570;1 718;1 895
59730;Solesmes;203;406;421;431;446;812;934;1 055;1 176
59740;Solre-le-Château;199;398;413;423;438;796;915;1 035;1 155
59740;Solrinnes;209;419;434;444;459;837;963;1 085;1 208
59490;Somain;241;485;500;510;525;969;1 114;1 243;1 380
59213;Sommaing;243;489;504;514;529;977;1 124;1 253;1 391
59380;Spycker;339;687;702;712;727;1 373;1 579;1 728;1 905
59190;Staple;301;608;623;633;648;1 217;1 399;1 540;1 702
59189;Steenbecque;293;592;607;617;632;1 184;1 361;1 500;1 659
59380;Steene;340;689;704;714;729;1 378;1 584;1 733;1 911
59114;Steenvoorde;316;639;654;664;679;1 279;1 470;1 614;1 782
59181;Steenwerck;297;600;615;625;640;1 200;1 380;1 520;1 680
59270;Strazeele;309;625;640;650;665;1 250;1 437;1 580;1 745
59550;Taisnières-en-Thiérache;205;410;425;435;450;821;944;1 065;1 187
59570;Taisnières-sur-Hon;268;540;555;565;580;1 081;1 243;1 377;1 525
59175;Templemars;265;534;549;559;574;1 068;1 228;1 362;1 509
59242;Templeuve;272;549;564;574;589;1 097;1 262;1 396;1 546
59114;Terdeghem;319;645;660;670;685;1 291;1 485;1 629;1 798
59229;Téteghem;344;697;712;722;737;1 394;1 603;1 753;1 932
59224;Thiant;236;474;489;499;514;949;1 091;1 218;1 353
59189;Thiennes;290;586;601;611;626;1 171;1 347;1 486;1 643
59163;Thivencelle;262;528;543;553;568;1 056;1 214;1 347;1 492
59239;Thumeries;260;524;539;549;564;1 048;1 205;1 337;1 482
59141;Thun-l'Évêque;221;443;458;468;483;887;1 020;1 144;1 273
59158;Thun-Saint-Amand;258;520;535;545;560;1 039;1 195;1 327;1 471
59141;Thun-Saint-Martin;227;456;471;481;496;911;1 048;1 174;1 305
59554;Tilloy-lez-Cambrai;215;431;446;456;471;862;991;1 114;1 240
59870;Tilloy-lez-Marchiennes;253;509;524;534;549;1 019;1 171;1 302;1 444
59390;Toufflers;284;573;588;598;613;1 147;1 318;1 456;1 610
59200;Tourcoing;285;575;590;600;615;1 151;1 323;1 461;1 616
59551;Tourmignies;267;538;553;563;578;1 076;1 238;1 372;1 519
59132;Trélon;184;367;382;392;407;734;844;961;1 074
59152;Tressin;276;557;572;582;597;1 114;1 281;1 416;1 568
59125;Trith-Saint-Léger;242;487;502;512;527;973;1 119;1 248;1 385
59980;Troisvilles;210;421;436;446;461;841;967;1 090;1 214
59229;Uxem;346;701;716;726;741;1 402;1 613;1 763;1 943
59300;Valenciennes;244;491;506;516;531;982;1 129;1 258;1 396
59218;Vendegies-au-Bois;204;408;423;433;448;817;939;1 060;1 181
59213;Vendegies-sur-Écaillon;243;489;504;514;529;977;1 124;1 253;1 391
59175;Vendeville;267;538;553;563;578;1 076;1 238;1 372;1 519
59227;Verchain-Maugré;241;485;500;510;525;969;1 114;1 243;1 380
59237;Verlinghem;290;586;601;611;626;1 171;1 347;1 486;1 643
59730;Vertain;250;503;518;528;543;1 006;1 157;1 288;1 428
59970;Vicq;256;516;531;541;556;1 031;1 186;1 317;1 460
59271;Viesly;202;404;419;429;444;808;929;1 050;1 171
59232;Vieux-Berquin;290;586;601;611;626;1 171;1 347;1 486;1 643
59690;Vieux-Condé;263;530;545;555;570;1 060;1 219;1 352;1 498
59138;Vieux-Mesnil;216;433;448;458;473;866;996;1 119;1 246
59600;Vieux-Reng;222;445;460;470;485;891;1 024;1 149;1 278
59650;Villeneuve-d'Ascq;274;553;568;578;593;1 105;1 271;1 406;1 557
59530;Villereau;257;518;533;543;558;1 035;1 190;1 322;1 466
59234;Villers-au-Tertre;229;460;475;485;500;920;1 058;1 184;1 316
59188;Villers-en-Cauchies;233;468;483;493;508;936;1 077;1 203;1 337
59297;Villers-Guislain;201;402;417;427;442;804;925;1 045;1 165
59142;Villers-Outréaux;210;421;436;446;461;841;967;1 090;1 214
59231;Villers-Plouich;200;400;415;425;440;800;920;1 040;1 160
59530;Villers-Pol;253;509;524;534;549;1 019;1 171;1 302;1 444
59600;Villers-Sire-Nicole;281;567;582;592;607;1 134;1 304;1 441;1 594
59470;Volckerinckhove;326;660;675;685;700;1 320;1 518;1 664;1 836
59870;Vred;248;499;514;524;539;998;1 148;1 278;1 417
59261;Wahagnies;258;520;535;545;560;1 039;1 195;1 327;1 471
59127;Walincourt-Selvigny;204;408;423;433;448;817;939;1 060;1 181
59135;Wallers;240;483;498;508;523;965;1 110;1 238;1 375
59132;Wallers-en-Fagne;188;375;390;400;415;751;863;981;1 096
59190;Wallon-Cappel;298;602;617;627;642;1 204;1 385;1 525;1 686
59400;Wambaix;210;421;436;446;461;841;967;1 090;1 214
59118;Wambrechies;286;577;592;602;617;1 155;1 328;1 466;1 621
59870;Wandignies-Hamage;244;491;506;516;531;982;1 129;1 258;1 396
59830;Wannehain;283;571;586;596;611;1 142;1 314;1 451;1 605
59144;Wargnies-le-Grand;254;511;526;536;551;1 023;1 176;1 307;1 450
59144;Wargnies-le-Petit;254;511;526;536;551;1 023;1 176;1 307;1 450
59380;Warhem;340;689;704;714;729;1 378;1 584;1 733;1 911
59870;Warlaing;252;507;522;532;547;1 015;1 167;1 297;1 439
59560;Warneton;298;602;617;627;642;1 204;1 385;1 525;1 686
59252;Wasnes-au-Bac;226;454;469;479;494;907;1 043;1 169;1 299
59290;Wasquehal;280;565;580;590;605;1 130;1 300;1 436;1 589
59143;Watten;321;650;665;675;690;1 299;1 494;1 639;1 809
59139;Wattignies;267;538;553;563;578;1 076;1 238;1 372;1 519
59680;Wattignies-la-Victoire;209;419;434;444;459;837;963;1 085;1 208
59150;Wattrelos;287;579;594;604;619;1 159;1 333;1 471;1 627
59220;Wavrechain-sous-Denain;235;472;487;497;512;944;1 086;1 213;1 348
59111;Wavrechain-sous-Faulx;230;462;477;487;502;924;1 062;1 189;1 321
59136;Wavrin;266;536;551;561;576;1 072;1 233;1 367;1 514
59119;Waziers;257;518;533;543;558;1 035;1 190;1 322;1 466
59670;Wemaers-Cappel;308;623;638;648;663;1 246;1 432;1 575;1 739
59117;Wervicq-Sud;296;598;613;623;638;1 196;1 375;1 515;1 675
59380;West-Cappel;331;670;685;695;710;1 340;1 541;1 688;1 862
59134;Wicres;274;553;568;578;593;1 105;1 271;1 406;1 557
59212;Wignehies;186;371;386;396;411;742;854;971;1 085
59780;Willems;284;573;588;598;613;1 147;1 318;1 456;1 610
59740;Willies;194;388;403;413;428;775;892;1 010;1 128
59670;Winnezeele;320;648;663;673;688;1 295;1 489;1 634;1 804
59470;Wormhout;328;664;679;689;704;1 328;1 527;1 674;1 846
59143;Wulverdinghe;324;656;671;681;696;1 312;1 508;1 654;1 825
59380;Wylder;329;666;681;691;706;1 332;1 532;1 679;1 852
59470;Zegerscappel;334;676;691;701;716;1 353;1 556;1 703;1 879
59670;Zermezeele;310;627;642;652;667;1 254;1 442;1 585;1 750
59123;Zuydcoote;351;711;726;736;751;1 423;1 636;1 787;1 970
59670;Zuytpeene;307;621;636;646;661;1 241;1 428;1 570;1 734
