cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
89480;Coulanges-sur-Yonne;176;310;325;340;360;620;682;794;855
89320;Coulours;127;218;233;248;268;436;480;574;625
89190;Courgenay;126;216;231;246;266;433;476;569;621
89800;Courgis;145;252;267;282;302;504;554;655;710
89140;Courlon-sur-Yonne;112;190;205;220;240;380;418;506;555
89560;Courson-les-Carrières;165;289;304;319;339;579;637;745;803
89150;Courtoin;162;284;299;314;334;568;624;731;789
89100;Courtois-sur-Yonne;149;259;274;289;309;519;571;673;728
89440;Coutarnoux;162;284;299;314;334;568;624;731;789
89480;Crain;177;312;327;342;362;624;686;799;860
89460;Cravant;160;280;295;310;330;560;616;722;780
89740;Cruzy-le-Châtel;119;203;218;233;253;406;447;538;588
89390;Cry;152;265;280;295;315;530;583;686;743
89116;Cudot;182;321;336;351;371;643;707;821;883
89420;Cussy-les-Forges;174;306;321;336;356;613;674;785;846
89140;Cuy;146;254;269;284;304;508;558;659;714
89700;Dannemoine;124;213;228;243;263;425;468;560;611
89120;Dicy;194;344;359;374;394;688;756;875;939
89240;Diges;160;280;295;310;330;560;616;722;780
89440;Dissangis;163;286;301;316;336;571;628;736;794
89500;Dixmont;145;252;267;282;302;504;554;655;710
89150;Dollot;170;299;314;329;349;598;657;767;827
89150;Domats;166;291;306;321;341;583;641;749;808
89450;Domecy-sur-Cure;184;325;340;355;375;650;715;830;893
89200;Domecy-sur-le-Vault;172;303;318;333;353;605;666;776;836
89130;Dracy;192;340;355;370;390;680;748;866;930
89560;Druyes-les-Belles-Fontaines;176;310;325;340;360;620;682;794;855
89360;Dyé;123;211;226;241;261;421;463;556;607
89240;Égleny;206;366;381;396;416;733;806;929;996
89500;Égriselles-le-Bocage;161;282;297;312;332;564;620;727;785
89400;Épineau-les-Voves;137;237;252;267;287;474;521;619;672
89700;Épineuil;119;203;218;233;253;406;447;538;588
89240;Escamps;154;269;284;299;319;538;591;695;752
89290;Escolives-Sainte-Camille;152;265;280;295;315;530;583;686;743
89210;Esnon;128;220;235;250;270;440;484;578;630
89480;Étais-la-Sauvin;184;325;340;355;375;650;715;830;893
89200;Étaule;166;291;306;321;341;583;641;749;808
89510;Étigny;158;276;291;306;326;553;608;713;771
89310;Étivey;150;261;276;291;311;523;575;677;733
89140;Évry;114;194;209;224;244;388;426;515;564
89110;La Ferté-Loupière;188;333;348;363;383;665;732;848;911
89480;Festigny;182;321;336;351;371;643;707;821;883
89190;Flacy;117;199;214;229;249;399;439;529;578
89113;Fleury-la-Vallée;147;256;271;286;306;511;562;664;719
89800;Fleys;133;229;244;259;279;459;505;601;653
89360;Flogny-la-Chapelle;116;198;213;228;248;395;435;524;574
89450;Foissy-lès-Vézelay;179;316;331;346;366;631;694;808;869
89190;Foissy-sur-Vanne;122;209;224;239;259;418;459;551;602
89100;Fontaine-la-Gaillarde;133;229;244;259;279;459;505;601;653
89130;Fontaines;216;385;400;415;435;770;847;974;1043
89560;Fontenailles;115;196;211;226;246;391;430;520;569
89800;Fontenay-près-Chablis;138;239;254;269;289;478;525;623;677
89450;Fontenay-près-Vézelay;183;323;338;353;373;646;711;826;888
89660;Fontenay-sous-Fouronnes;167;293;308;323;343;586;645;754;813
89120;Fontenouilles;191;338;353;368;388;676;744;862;925
