cp;nom;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
2300;Abbécourt;225;452;467;477;492;903;1039;1164;1294
2800;Achery;154;305;320;330;345;610;702;812;913
2200;Acy;122;239;254;264;279;478;550;654;742
2340;Agnicourt-et-Séchelles;138;272;287;297;312;544;626;733;828
2190;Aguilcourt;98;190;205;215;230;379;436;535;613
2110;Aisonville-et-Bernoville;180;359;374;384;399;718;825;941;1053
2820;Aizelles;112;219;234;244;259;437;503;604;688
2370;Aizy-Jouy;132;260;275;285;300;520;597;703;795
2240;Alaincourt;163;324;339;349;364;647;744;857;962
2320;Allemant;139;274;289;299;314;548;631;738;833
2290;Ambleny;139;274;289;299;314;548;631;738;833
2200;Ambrief;126;247;262;272;287;495;569;674;763
2190;Amifontaine;110;214;229;239;254;429;493;595;677
2700;Amigny-Rouy;166;330;345;355;370;660;759;872;978
2600;Ancienville;122;239;254;264;279;478;550;654;742
2800;Andelain;154;305;320;330;345;610;702;812;913
2800;Anguilcourt-le-Sart;149;295;310;320;335;590;678;788;887
2320;Anizy-le-Château;142;280;295;305;320;561;645;753;849
2480;Annois;183;365;380;390;405;730;839;956;1069
2500;Any-Martin-Rieux;159;315;330;340;355;631;726;837;940
2360;Archon;139;274;289;299;314;548;631;738;833
2130;Arcy-Sainte-Restitue;125;245;260;270;285;491;564;669;758
2210;Armentières-sur-Ourcq;136;268;283;293;308;536;616;723;817
2860;Arrancy;116;227;242;252;267;454;522;624;710
2480;Artemps;174;346;361;371;386;693;797;911;1021
2330;Artonges;76;144;159;169;184;289;332;426;495
2270;Assis-sur-Serre;152;301;316;326;341;602;692;802;903
2840;Athies-sous-Laon;135;266;281;291;306;532;612;718;811
2490;Attilly;178;355;370;380;395;709;816;931;1042
2420;Aubencheul-aux-Bois;189;377;392;402;417;755;868;986;1101
2500;Aubenton;155;307;322;332;347;614;707;817;919
2590;Aubigny-aux-Kaisnes;182;363;378;388;403;726;835;951;1063
2820;Aubigny-en-Laonnois;113;221;236;246;261;441;507;609;693
2300;Audignicourt;151;299;314;324;339;598;688;797;897
2120;Audigny;166;330;345;355;370;660;759;872;978
2220;Augy;147;291;306;316;331;581;669;778;876
2000;Aulnois-sous-Laon;136;268;283;293;308;536;616;723;817
2250;Autremencourt;144;285;300;310;325;569;654;763;860
2580;Autreppes;170;338;353;363;378;676;778;892;999
2300;Autreville;169;336;351;361;376;672;773;887;994
2400;Azy-sur-Marne;94;181;196;206;221;363;417;515;592
2290;Bagneux;145;287;302;312;327;573;659;768;865
2140;Bancigny;148;293;308;318;333;586;673;783;881
2000;Barenton-Bugny;132;260;275;285;300;520;597;703;795
2000;Barenton-Cel;133;262;277;287;302;524;602;708;801
2270;Barenton-sur-Serre;136;268;283;293;308;536;616;723;817
2700;Barisis-aux-Bois;147;291;306;316;331;581;669;778;876
2170;Barzy-en-Thiérache;187;373;388;398;413;746;858;976;1090
2850;Barzy-sur-Marne;82;157;172;182;197;313;360;456;527
2380;Bassoles-Aulers;146;289;304;314;329;577;664;773;870
2330;Baulne-en-Brie;70;132;147;157;172;264;303;397;463
2220;Bazoches-sur-Vesles;101;196;211;221;236;392;450;550;629
2500;Beaumé;156;309;324;334;349;619;711;822;924
2300;Beaumont-en-Beine;178;355;370;380;395;709;816;931;1042
