CP;Commune;Distance;1-2;3-4;5-6;7-8;9-12;13-16;17-31;32-54
2160;Beaurieux;113;134,9166667;164,9166667;194,9166667;214,9166667;269,8333333;310,3083333;337,2916667;377,7666667
2800;Beautor;157;182,5833333;212,5833333;242,5833333;262,5833333;365,1666667;419,9416667;456,4583333;511,2333333
2590;Beauvois-en-Vermandois;182;209,6666667;239,6666667;269,6666667;289,6666667;419,3333333;482,2333333;524,1666667;587,0666667
2110;Becquigny;187;215,0833333;245,0833333;275,0833333;295,0833333;430,1666667;494,6916667;537,7083333;602,2333333
2400;Belleau;133;156,5833333;186,5833333;216,5833333;236,5833333;313,1666667;360,1416667;391,4583333;438,4333333
2420;Bellenglise;183;210,75;240,75;270,75;290,75;421,5;484,725;526,875;590,1
2200;Belleu;128;151,1666667;181,1666667;211,1666667;231,1666667;302,3333333;347,6833333;377,9166667;423,2666667
2420;Bellicourt;187;215,0833333;245,0833333;275,0833333;295,0833333;430,1666667;494,6916667;537,7083333;602,2333333
2440;Benay;171;197,75;227,75;257,75;277,75;395,5;454,825;494,375;553,7
2450;Bergues-sur-Sambre;185;212,9166667;242,9166667;272,9166667;292,9166667;425,8333333;489,7083333;532,2916667;596,1666667
2250;Berlancourt;192;220,5;250,5;280,5;300,5;441;507,15;551,25;617,4
2340;Berlise;134;157,6666667;187,6666667;217,6666667;237,6666667;315,3333333;362,6333333;394,1666667;441,4666667
2120;Bernot;170;196,6666667;226,6666667;256,6666667;276,6666667;393,3333333;452,3333333;491,6666667;550,6666667
2290;Berny-Rivière;144;168,5;198,5;228,5;248,5;337;387,55;421,25;471,8
2820;Berrieux;112;133,8333333;163,8333333;193,8333333;213,8333333;267,6666667;307,8166667;334,5833333;374,7333333
2190;Berry-au-Bac;96;116,5;146,5;176,5;196,5;233;267,95;291,25;326,2
2800;Bertaucourt-Epourdon;155;180,4166667;210,4166667;240,4166667;260,4166667;360,8333333;414,9583333;451,0416667;505,1666667
2240;Berthenicourt;161;186,9166667;216,9166667;246,9166667;266,9166667;373,8333333;429,9083333;467,2916667;523,3666667
2190;Bertricourt;104;125,1666667;155,1666667;185,1666667;205,1666667;250,3333333;287,8833333;312,9166667;350,4666667
2200;Berzy-le-Sec;133;156,5833333;186,5833333;216,5833333;236,5833333;313,1666667;360,1416667;391,4583333;438,4333333
2300;Besmé;177;204,25;234,25;264,25;284,25;408,5;469,775;510,625;571,9
2500;Besmont;154;179,3333333;209,3333333;239,3333333;259,3333333;358,6666667;412,4666667;448,3333333;502,1333333
2870;Besny-et-Loizy;138;162;192;222;242;324;372,6;405;453,6
2300;Béthancourt-en-Vaux;174;201;231;261;281;402;462,3;502,5;562,8
2210;Beugneux;127;150,0833333;180,0833333;210,0833333;230,0833333;300,1666667;345,1916667;375,2083333;420,2333333
2130;Beuvardes;119;141,4166667;171,4166667;201,4166667;221,4166667;282,8333333;325,2583333;353,5416667;395,9666667
2310;Bézu-le-Guéry;105;126,25;156,25;186,25;206,25;252,5;290,375;315,625;353,5
2400;Bézu-Saint-Germain;126;149;179;209;229;298;342,7;372,5;417,2
2300;Bichancourt;171;197,75;227,75;257,75;277,75;395,5;454,825;494,375;553,7
