cp;nom;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
59123;Bray-Dunes;346;701;716;726;741;1402;1613;1763;1943
59730;Briastre;207;414;429;439;454;829;953;1075;1198
59178;Brillon;245;493;508;518;533;986;1133;1263;1401
59630;Brouckerque;338;685;700;710;725;1369;1575;1723;1900
59470;Broxeele;331;670;685;695;710;1340;1541;1688;1862
59860;Bruay-sur-l'Escaut;254;511;526;536;551;1023;1176;1307;1450
59490;Bruille-lez-Marchiennes;245;493;508;518;533;986;1133;1263;1401
59199;Bruille-Saint-Amand;267;538;553;563;578;1076;1238;1372;1519
59151;Brunémont;224;450;465;475;490;899;1034;1159;1289
59144;Bry;256;516;531;541;556;1031;1186;1317;1460
59151;Bugnicourt;224;450;465;475;490;899;1034;1159;1289
59137;Busigny;189;377;392;402;417;755;868;986;1101
59285;Buysscheure;326;660;675;685;700;1320;1518;1664;1836
59190;Caëstre;300;606;621;631;646;1213;1394;1535;1696
59161;Cagnoncles;219;439;454;464;479;878;1010;1134;1262
59400;Cambrai;215;431;446;456;471;862;991;1114;1240
59133;Camphin-en-Carembault;259;522;537;547;562;1043;1200;1332;1476
59780;Camphin-en-Pévèle;279;563;578;588;603;1126;1295;1431;1584
59267;Cantaing-sur-Escaut;210;421;436;446;461;841;967;1090;1214
59169;Cantin;228;458;473;483;498;916;1053;1179;1310
59213;Capelle;249;501;516;526;541;1002;1152;1283;1423
59160;Capinghem;284;573;588;598;613;1147;1318;1456;1610
59630;Cappelle-Brouck;333;674;689;699;714;1349;1551;1698;1873
59242;Cappelle-en-Pévèle;272;549;564;574;589;1097;1262;1396;1546
59180;Cappelle-la-Grande;342;693;708;718;733;1386;1594;1743;1921
59217;Carnières;220;441;456;466;481;883;1015;1139;1267
59112;Carnin;260;524;539;549;564;1048;1205;1337;1482
59244;Cartignies;199;398;413;423;438;796;915;1035;1155
59670;Cassel;307;621;636;646;661;1241;1428;1570;1734
59360;Le Cateau-Cambrésis;195;390;405;415;430;779;896;1015;1133
59360;Catillon-sur-Sambre;195;390;405;415;430;779;896;1015;1133
59217;Cattenières;220;441;456;466;481;883;1015;1139;1267
59540;Caudry;212;425;440;450;465;850;977;1099;1224
59191;Caullery;209;419;434;444;459;837;963;1085;1208
59400;Cauroir;215;431;446;456;471;862;991;1114;1240
59680;Cerfontaine;212;425;440;450;465;850;977;1099;1224
59930;La Chapelle-d'Armentières;287;579;594;604;619;1159;1333;1471;1627
59230;Château-l'Abbaye;253;509;524;534;549;1019;1171;1302;1444
59147;Chemy;262;528;543;553;568;1056;1214;1347;1492
59152;Chéreng;276;557;572;582;597;1114;1281;1416;1568
59740;Choisies;199;398;413;423;438;796;915;1035;1155
59740;Clairfayts;199;398;413;423;438;796;915;1035;1155
59225;Clary;207;414;429;439;454;829;953;1075;1198
59830;Cobrieux;280;565;580;590;605;1130;1300;1436;1589
59680;Colleret;212;425;440;450;465;850;977;1099;1224
59560;Comines;295;596;611;621;636;1192;1371;1510;1669
59163;Condé-sur-l'Escaut;264;532;547;557;572;1064;1224;1357;1503
59210;Coudekerque-Branche;343;695;710;720;735;1390;1598;1748;1927
59380;Coudekerque-Village;335;678;693;703;718;1357;1560;1708;1884
59552;Courchelettes;244;491;506;516;531;982;1129;1258;1396
59149;Cousolre;219;439;454;464;479;878;1010;1134;1262
59310;Coutiches;270;544;559;569;584;1089;1252;1387;1535
59279;Craywick;342;693;708;718;733;1386;1594;1743;1921
59154;Crespin;260;524;539;549;564;1048;1205;1337;1482
59258;Crèvecœur-sur-l'Escaut;206;412;427;437;452;825;948;1070;1192
59380;Crochte;335;678;693;703;718;1357;1560;1708;1884
59170;Croix;281;567;582;592;607;1134;1304;1441;1594
59222;Croix-Caluyau;201;402;417;427;442;804;925;1045;1165
59500;Cuincy;237;476;491;501;516;953;1096;1223;1358
59990;Curgies;250;503;518;528;543;1006;1157;1288;1428
59268;Cuvillers;218;437;452;462;477;874;1005;1129;1257
59830;Cysoing;280;565;580;590;605;1130;1300;1436;1589
59680;Damousies;212;425;440;450;465;850;977;1099;1224
59187;Dechy;232;466;481;491;506;932;1072;1198;1332
59127;Dehéries;215;431;446;456;471;862;991;1114;1240
59220;Denain;235;472;487;497;512;944;1086;1213;1348
59890;Deûlémont;291;588;603;613;628;1175;1352;1490;1648
59740;Dimechaux;199;398;413;423;438;796;915;1035;1155
59216;Dimont;203;406;421;431;446;812;934;1055;1176
62147;Doignies;214;429;444;454;469;858;986;1109;1235
59440;Dompierre-sur-Helpe;195;390;405;415;430;779;896;1015;1133
59272;Don;263;530;545;555;570;1060;1219;1352;1498
59500;Douai;233;468;483;493;508;936;1077;1203;1337
59282;Douchy-les-Mines;232;466;481;491;506;932;1072;1198;1332
59940;Le Doulieu;287;579;594;604;619;1159;1333;1471;1627
59440;Dourlers;195;390;405;415;430;779;896;1015;1133
59630;Drincham;333;674;689;699;714;1349;1551;1698;1873
59140;Dunkerque;350;709;724;734;749;1419;1632;1783;1964
59173;Ebblinghem;303;612;627;637;652;1225;1409;1550;1712
59176;Écaillon;234;470;485;495;510;940;1081;1208;1342
59740;Eccles;203;406;421;431;446;812;934;1055;1176
59330;Éclaibes;205;410;425;435;450;821;944;1065;1187
59620;Écuélin;202;404;419;429;444;808;929;1050;1171
59114;Eecke;313;633;648;658;673;1266;1456;1599;1766
59600;Élesmes;218;437;452;462;477;874;1005;1129;1257
59127;Élincourt;201;402;417;427;442;804;925;1045;1165
59580;Émerchicourt;229;460;475;485;500;920;1058;1184;1316
59320;Emmerin;269;542;557;567;582;1085;1247;1382;1530
59530;Englefontaine;202;404;419;429;444;808;929;1050;1171
59320;Englos;293;592;607;617;632;1184;1361;1500;1659
59320;Ennetières-en-Weppes;282;569;584;594;609;1138;1309;1446;1600
59710;Ennevelin;267;538;553;563;578;1076;1238;1372;1519
59132;Eppe-Sauvage;204;408;423;433;448;817;939;1060;1181
59169;Erchin;231;464;479;489;504;928;1067;1193;1326
59470;Eringhem;338;685;700;710;725;1369;1575;1723;1900
59320;Erquinghem-le-Sec;283;571;586;596;611;1142;1314;1451;1605
59193;Erquinghem-Lys;294;594;609;619;634;1188;1366;1505;1664
59171;Erre;239;480;495;505;520;961;1105;1233;1369
59213;Escarmain;249;501;516;526;541;1002;1152;1283;1423
59124;Escaudain;235;472;487;497;512;944;1086;1213;1348
59161;Escaudœuvres;218;437;452;462;477;874;1005;1129;1257
59278;Escautpont;259;522;537;547;562;1043;1200;1332;1476
59320;Escobecques;283;571;586;596;611;1142;1314;1451;1605
59127;Esnes;210;421;436;446;461;841;967;1090;1214
59470;Esquelbecq;331;670;685;695;710;1340;1541;1688;1862
59553;Esquerchin;248;499;514;524;539;998;1148;1278;1417
59940;Estaires;285;575;590;600;615;1151;1323;1461;1616
59400;Estourmel;215;431;446;456;471;862;991;1114;1240
59151;Estrées;227;456;471;481;496;911;1048;1174;1305
59990;Estreux;249;501;516;526;541;1002;1152;1283;1423
59295;Estrun;227;456;471;481;496;911;1048;1174;1305
59161;Eswars;219;439;454;464;479;878;1010;1134;1262
59144;Eth;256;516;531;541;556;1031;1186;1317;1460
59219;Étrœungt;186;371;386;396;411;742;854;971;1085
59155;Faches-Thumesnil;269;542;557;567;582;1085;1247;1382;1530
59300;Famars;245;493;508;518;533;986;1133;1263;1401
59310;Faumont;262;528;543;553;568;1056;1214;1347;1492
59550;Le Favril;193;386;401;411;426;771;887;1005;1122
59247;Féchain;227;456;471;481;496;911;1048;1174;1305
59750;Feignies;273;551;566;576;591;1101;1266;1401;1551
59740;Felleries;200;400;415;425;440;800;920;1040;1160
59179;Fenain;240;483;498;508;523;965;1110;1238;1375
59169;Férin;231;464;479;489;504;928;1067;1193;1326
59610;Féron;189;377;392;402;417;755;868;986;1101
59680;Ferrière-la-Grande;212;425;440;450;465;850;977;1099;1224
59680;Ferrière-la-Petite;211;423;438;448;463;845;972;1094;1219
59570;La Flamengrie;179;357;372;382;397;713;820;936;1047
59440;Flaumont-Waudrechies;195;390;405;415;430;779;896;1015;1133
59128;Flers-en-Escrebieux;253;509;524;534;549;1019;1171;1302;1444
59267;Flesquières;206;412;427;437;452;825;948;1070;1192
59270;Flêtre;307;621;636;646;661;1241;1428;1570;1734
59158;Flines-lès-Mortagne;262;528;543;553;568;1056;1214;1347;1492
59148;Flines-lez-Raches;255;513;528;538;553;1027;1181;1312;1455
59440;Floursies;201;402;417;427;442;804;925;1045;1165
