cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
77720;Champeaux;125;214;229;244;264;429;472;565;616
77420;Champs-sur-Marne;140;243;258;273;293;485;534;632;686
77660;Changis-sur-Marne;110;186;201;216;236;373;410;497;546
77600;Chanteloup-en-Brie;130;224;239;254;274;448;492;587;639
77720;La Chapelle-Gauthier;120;205;220;235;255;410;451;542;593
77540;La Chapelle-Iger;110;186;201;216;236;373;410;497;546
77760;La Chapelle-la-Reine;160;280;295;310;330;560;616;722;780
77320;La Chapelle-Moutils;80;130;145;160;180;260;286;362;405
77370;La Chapelle-Rablais;115;196;211;226;246;391;430;520;569
77160;La Chapelle-Saint-Sulpice;100;168;183;198;218;335;369;452;499
77610;Les Chapelles-Bourbon;120;205;220;235;255;410;451;542;593
77410;Charmentray;135;233;248;263;283;466;513;610;663
77410;Charny;135;233;248;263;283;466;513;610;663
77590;Chartrettes;140;243;258;273;293;485;534;632;686
77320;Chartronges;85;139;154;169;189;279;307;385;428
77370;Châteaubleau;105;177;192;207;227;354;389;475;522
77570;Château-Landon;170;299;314;329;349;598;657;767;827
77820;Le Châtelet-en-Brie;130;224;239;254;274;448;492;587;639
77126;Châtenay-sur-Seine;115;196;211;226;246;391;430;520;569
77167;Châtenoy;160;280;295;310;330;560;616;722;780
77820;Châtillon-la-Borde;130;224;239;254;274;448;492;587;639
77610;Châtres;120;205;220;235;255;410;451;542;593
77124;Chauconin-Neufmontiers;130;224;239;254;274;448;492;587;639
77169;Chauffry;90;149;164;179;199;298;327;407;452
77390;Chaumes-en-Brie;115;196;211;226;246;391;430;520;569
77500;Chelles;140;243;258;273;293;485;534;632;686
77160;Chenoise;90;149;164;179;199;298;327;407;452
77570;Chenou;165;289;304;319;339;579;637;745;803
77700;Chessy;135;233;248;263;283;466;513;610;663
77760;Chevrainvilliers;160;280;295;310;330;560;616;722;780
77320;Chevru;95;158;173;188;208;316;348;430;475
77173;Chevry-Cossigny;135;233;248;263;283;466;513;610;663
77710;Chevry-en-Sereine;135;233;248;263;283;466;513;610;663
77320;Choisy-en-Brie;85;139;154;169;189;279;307;385;428
77730;Citry;100;168;183;198;218;335;369;452;499
77410;Claye-Souilly;140;243;258;273;293;485;534;632;686
77370;Clos-Fontaine;110;186;201;216;236;373;410;497;546
77440;Cocherel;110;186;201;216;236;373;410;497;546
77090;Collégien;135;233;248;263;283;466;513;610;663
77380;Combs-la-Ville;140;243;258;273;293;485;534;632;686
77290;Compans;145;252;267;282;302;504;554;655;710
77600;Conches-sur-Gondoire;130;224;239;254;274;448;492;587;639
77450;Condé-Sainte-Libiaire;120;205;220;235;255;410;451;542;593
77440;Congis-sur-Thérouanne;120;205;220;235;255;410;451;542;593
77170;Coubert;130;224;239;254;274;448;492;587;639
77860;Couilly-Pont-aux-Dames;115;196;211;226;246;391;430;520;569
77840;Coulombs-en-Valois;115;196;211;226;246;391;430;520;569
77580;Coulommes;115;196;211;226;246;391;430;520;569
77120;Coulommiers;95;158;173;188;208;316;348;430;475
77700;Coupvray;125;214;229;244;264;429;472;565;616
77126;Courcelles-en-Bassée;115;196;211;226;246;391;430;520;569
77560;Courchamp;85;139;154;169;189;279;307;385;428
77540;Courpalay;110;186;201;216;236;373;410;497;546
77390;Courquetaine;125;214;229;244;264;429;472;565;616
77560;Courtacon;80;130;145;160;180;260;286;362;405
77390;Courtomer;110;186;201;216;236;373;410;497;546
