cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
ACC;Aéroport de Charles de Gaules;171;280;295;305;320;560;616;753;849
AO;Aéroport d'Orly;165;280;295;305;320;560;644;753;849
AB;Aéroport de Beauvais;245;439;454;464;479;879;1011;1136;1263
AMN;Aéroport de Metz - Nancy;210;374;389;399;414;748;860;978;1093
AL;Aéroport de Lille;270;486;501;511;526;973;1118;1248;1385
ADJ;Aéroport de Doles-Jura;275;496;511;521;536;991;1140;1271;1410
ALUX;Aéroport de Luxembourg;250;449;464;474;489;898;1032;1158;1288
