CP;Commune;Distance;1-2;3-4 ;5-6;7-8;9-12;13-16;17-31;32-54
21570;Belan sur ource;132;155,5;185,5;215,5;235,5;311;357,65;388,75;435,4
21490;Bellefond;226;257,3333333;287,3333333;317,3333333;337,3333333;514,6666667;591,8666667;643,3333333;720,5333333
21310;Belleneuve;237;269,25;299,25;329,25;349,25;538,5;619,275;673,125;753,9
21510;Bellenod sur seine;161;186,9166667;216,9166667;246,9166667;266,9166667;373,8333333;429,9083333;467,2916667;523,3666667
21320;Bellenot sous pouilly;219;249,75;279,75;309,75;329,75;499,5;574,425;624,375;699,3
21290;Beneuvre;174;201;231;261;281;402;462,3;502,5;562,8
21500;Benoisey;178;205,3333333;235,3333333;265,3333333;285,3333333;410,6666667;472,2666667;513,3333333;574,9333333
21360;Bessey en chaume;252;285,5;315,5;345,5;365,5;571;656,65;713,75;799,4
21360;Bessey la cour;245;277,9166667;307,9166667;337,9166667;357,9166667;555,8333333;639,2083333;694,7916667;778,1666667
21110;Bessey les citeaux;254;287,6666667;317,6666667;347,6666667;367,6666667;575,3333333;661,6333333;719,1666667;805,4666667
21320;Beurey bauguay;220;250,8333333;280,8333333;310,8333333;330,8333333;501,6666667;576,9166667;627,0833333;702,3333333
21350;Beurizot;215;245,4166667;275,4166667;305,4166667;325,4166667;490,8333333;564,4583333;613,5416667;687,1666667
21220;Bevy;272;307,1666667;337,1666667;367,1666667;387,1666667;614,3333333;706,4833333;767,9166667;860,0666667
21310;Beze;217;247,5833333;277,5833333;307,5833333;327,5833333;495,1666667;569,4416667;618,9583333;693,2333333
21310;Bezouotte;228;259,5;289,5;319,5;339,5;519;596,85;648,75;726,6
21390;Bierre les semur;196;224,8333333;254,8333333;284,8333333;304,8333333;449,6666667;517,1166667;562,0833333;629,5333333
21130;Billey;266;300,6666667;330,6666667;360,6666667;380,6666667;601,3333333;691,5333333;751,6666667;841,8666667
21450;Billy les chanceaux;179;206,4166667;236,4166667;266,4166667;286,4166667;412,8333333;474,7583333;516,0416667;577,9666667
21270;Binges;236;268,1666667;298,1666667;328,1666667;348,1666667;536,3333333;616,7833333;670,4166667;750,8666667
21520;Bissey la cote;146;170,6666667;200,6666667;230,6666667;250,6666667;341,3333333;392,5333333;426,6666667;477,8666667
21330;Bissey la pierre;141;165,25;195,25;225,25;245,25;330,5;380,075;413,125;462,7
21310;Blagny sur vingeanne;228;259,5;289,5;319,5;339,5;519;596,85;648,75;726,6
21540;Blaisy bas;204;233,5;263,5;293,5;313,5;467;537,05;583,75;653,8
21540;Blaisy haut;204;233,5;263,5;293,5;313,5;467;537,05;583,75;653,8
21320;Blancey;220;250,8333333;280,8333333;310,8333333;330,8333333;501,6666667;576,9166667;627,0833333;702,3333333
21430;Blanot;218;248,6666667;278,6666667;308,6666667;328,6666667;497,3333333;571,9333333;621,6666667;696,2666667
21690;Blessey;185;212,9166667;242,9166667;272,9166667;292,9166667;425,8333333;489,7083333;532,2916667;596,1666667
21440;Bligny le sec;190;218,3333333;248,3333333;278,3333333;298,3333333;436,6666667;502,1666667;545,8333333;611,3333333
21200;Bligny les beaune;281;316,9166667;346,9166667;376,9166667;396,9166667;633,8333333;728,9083333;792,2916667;887,3666667
21360;Bligny sur ouche;243;275,75;305,75;335,75;355,75;551,5;634,225;689,375;772,1
21700;Boncourt le bois;262;296,3333333;326,3333333;356,3333333;376,3333333;592,6666667;681,5666667;740,8333333;829,7333333
21250;Bonnencontre;263;297,4166667;327,4166667;357,4166667;377,4166667;594,8333333;684,0583333;743,5416667;832,7666667
21520;Boudreville;142;166,3333333;196,3333333;226,3333333;246,3333333;332,6666667;382,5666667;415,8333333;465,7333333
21360;Bouhey;242;274,6666667;304,6666667;334,6666667;354,6666667;549,3333333;631,7333333;686,6666667;769,0666667
21420;Bouilland;249;282,25;312,25;342,25;362,25;564,5;649,175;705,625;790,3
21330;Bouix;133;156,5833333;186,5833333;216,5833333;236,5833333;313,1666667;360,1416667;391,4583333;438,4333333
21610;Bourberain;218;248,6666667;278,6666667;308,6666667;328,6666667;497,3333333;571,9333333;621,6666667;696,2666667
21250;Bousselange;292;328,8333333;358,8333333;388,8333333;408,8333333;657,6666667;756,3166667;822,0833333;920,7333333
21260;Boussenois;217;247,5833333;277,5833333;307,5833333;327,5833333;495,1666667;569,4416667;618,9583333;693,2333333
21350;Boussey;204;233,5;263,5;293,5;313,5;467;537,05;583,75;653,8
21690;Boux sous salmaise;191;219,4166667;249,4166667;279,4166667;299,4166667;438,8333333;504,6583333;548,5416667;614,3666667
21200;Bouze les beaune;284;320,1666667;350,1666667;380,1666667;400,1666667;640,3333333;736,3833333;800,4166667;896,4666667
21350;Brain;202;231,3333333;261,3333333;291,3333333;311,3333333;462,6666667;532,0666667;578,3333333;647,7333333
21390;Braux;200;229,1666667;259,1666667;289,1666667;309,1666667;458,3333333;527,0833333;572,9166667;641,6666667
21430;Brazey en morvan;216;246,5;276,5;306,5;326,5;493;566,95;616,25;690,2
21470;Brazey en plaine;257;290,9166667;320,9166667;350,9166667;370,9166667;581,8333333;669,1083333;727,2916667;814,5666667
21400;Bremur et vaurois;155;180,4166667;210,4166667;240,4166667;260,4166667;360,8333333;414,9583333;451,0416667;505,1666667
21560;Bressey sur tille;233;264,9166667;294,9166667;324,9166667;344,9166667;529,8333333;609,3083333;662,2916667;741,7666667
21110;Bretenieres;245;277,9166667;307,9166667;337,9166667;357,9166667;555,8333333;639,2083333;694,7916667;778,1666667
21490;Bretigny;224;255,1666667;285,1666667;315,1666667;335,1666667;510,3333333;586,8833333;637,9166667;714,4666667
21390;Brianny;206;235,6666667;265,6666667;295,6666667;315,6666667;471,3333333;542,0333333;589,1666667;659,8666667
21570;Brion sur ource;149;173,9166667;203,9166667;233,9166667;253,9166667;347,8333333;400,0083333;434,7916667;486,9666667
21220;Brochon;250;283,3333333;313,3333333;343,3333333;363,3333333;566,6666667;651,6666667;708,3333333;793,3333333
21490;Brognon;224;255,1666667;285,1666667;315,1666667;335,1666667;510,3333333;586,8833333;637,9166667;714,4666667
21250;Broin;276;311,5;341,5;371,5;391,5;623;716,45;778,75;872,2
