CP;Commune;Distance;1-2;3-4 ;5-6 ;7-8 ;9-12 ;13-16 ;17-31 ;32-54 
8190;Blanzy-la-Salonnaise;105;126,25;156,25;186,25;206,25;252,5;290,375;315,625;353,5
8260;Blombay;150;175;205;235;255;350;402,5;437,5;490
8120;Bogny-sur-Meuse;165;191,25;221,25;251,25;271,25;382,5;439,875;478,125;535,5
8350;Bosseval-et-Briancourt;165;191,25;221,25;251,25;271,25;382,5;439,875;478,125;535,5
8290;Bossus-lès-Rumigny;150;175;205;235;255;350;402,5;437,5;490
8250;Bouconville;100;120,8333333;150,8333333;180,8333333;200,8333333;241,6666667;277,9166667;302,0833333;338,3333333
8240;Boult-aux-Bois;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
8410;Boulzicourt;140;164,1666667;194,1666667;224,1666667;244,1666667;328,3333333;377,5833333;410,4166667;459,6666667
8400;Bourcq;100;120,8333333;150,8333333;180,8333333;200,8333333;241,6666667;277,9166667;302,0833333;338,3333333
8230;Bourg-Fidèle;175;202,0833333;232,0833333;262,0833333;282,0833333;404,1666667;464,7916667;505,2083333;565,8333333
8160;Boutancourt;150;175;205;235;255;350;402,5;437,5;490
8430;Bouvellemont;140;164,1666667;194,1666667;224,1666667;244,1666667;328,3333333;377,5833333;410,4166667;459,6666667
8190;Brienne-sur-Aisne;100;120,8333333;150,8333333;180,8333333;200,8333333;241,6666667;277,9166667;302,0833333;338,3333333
8240;Brieulles-sur-Bar;125;147,9166667;177,9166667;207,9166667;227,9166667;295,8333333;340,2083333;369,7916667;414,1666667
8240;Briquenay;115;137,0833333;167,0833333;197,0833333;217,0833333;274,1666667;315,2916667;342,7083333;383,8333333
8380;Brognon;165;191,25;221,25;251,25;271,25;382,5;439,875;478,125;535,5
8400;Brécy-Brières;100;120,8333333;150,8333333;180,8333333;200,8333333;241,6666667;277,9166667;302,0833333;338,3333333
8140;Brévilly;175;202,0833333;232,0833333;262,0833333;282,0833333;404,1666667;464,7916667;505,2083333;565,8333333
8450;Bulson;170;196,6666667;226,6666667;256,6666667;276,6666667;393,3333333;452,3333333;491,6666667;550,6666667
8240;Buzancy;120;142,5;172,5;202,5;222,5;285;327,75;356,25;399
