cp;nom;distance;P01-02;P03-04;P05-P06;P07-08;P09-12;P13-16;P17-31;P32-54
2220;Braine;109;184;199;214;234;369;406;493;541
2320;Brancourt-en-Laonnois;142;246;261;276;296;493;542;641;696
2110;Brancourt-le-Grand;188;333;348;363;383;665;732;848;911
2400;Brasles;128;220;235;250;270;440;484;578;630
2480;Bray-Saint-Christophe;180;318;333;348;368;635;699;812;874
2880;Braye;127;218;233;248;268;436;480;574;625
2000;Braye-en-Laonnois;125;214;229;244;264;429;472;565;616
2140;Braye-en-Thiérache;143;248;263;278;298;496;546;646;700
2210;Brécy;135;233;248;263;283;466;513;610;663
2220;Brenelle;112;190;205;220;240;380;418;506;555
2210;Breny;136;235;250;265;285;470;517;614;668
2870;Brie;143;248;263;278;298;496;546;646;700
2240;Brissay-Choigny;157;274;289;304;324;549;604;709;766
2240;Brissy-Hamégicourt;159;278;293;308;328;556;612;718;775
2810;Brumetz;144;250;265;280;300;500;550;650;705
2360;Brunehamel;144;250;265;280;300;500;550;650;705
2860;Bruyères-et-Montbérault;126;216;231;246;266;433;476;569;621
2130;Bruyères-sur-Fère;123;211;226;241;261;421;463;556;607
2220;Bruys;109;184;199;214;234;369;406;493;541
2500;Bucilly;161;282;297;312;332;564;620;727;785
2880;Bucy-le-Long;121;207;222;237;257;414;455;547;597
2870;Bucy-lès-Cerny;148;258;273;288;308;515;567;668;724
2350;Bucy-lès-Pierrepont;132;228;243;258;278;455;501;596;649
2500;Buire;167;293;308;323;343;586;645;754;813
2620;Buironfosse;184;325;340;355;375;650;715;830;893
2140;Burelles;157;274;289;304;324;549;604;709;766
2810;Bussiares;136;235;250;265;285;470;517;614;668
2200;Buzancy;120;205;220;235;255;410;451;542;593
2300;Caillouël-Crépigny;176;310;325;340;360;620;682;794;855
2300;Camelin;183;323;338;353;373;646;711;826;888
2680;Castres;168;295;310;325;345;590;649;758;818
2490;Caulaincourt;184;325;340;355;375;650;715;830;893
2300;Caumont;171;301;316;331;351;601;661;772;832
2330;Celles-lès-Condé;72;115;130;145;165;230;253;326;368
2370;Celles-sur-Aisne;119;203;218;233;253;406;447;538;588
2240;Cerizy;167;293;308;323;343;586;645;754;813
2860;Cerny-en-Laonnois;120;205;220;235;255;410;451;542;593
2870;Cerny-lès-Bucy;145;252;267;282;302;504;554;655;710
2220;Cerseuil;111;188;203;218;238;376;414;502;550
2320;Cessières;148;258;273;288;308;515;567;668;724
2200;Chacrise;134;231;246;261;281;463;509;605;658
2000;Chaillevois;147;256;271;286;306;511;562;664;719
2270;Chalandry;140;243;258;273;293;485;534;632;686
2000;Chambry;130;224;239;254;274;448;492;587;639
2860;Chamouille;123;211;226;241;261;421;463;556;607
2670;Champs;172;303;318;333;353;605;666;776;836
2340;Chaourse;133;229;244;259;279;459;505;601;653
2310;Charly-sur-Marne;99;166;181;196;216;331;364;448;494
2800;Charmes;154;269;284;299;319;538;591;695;752
2400;Chartèves;87;143;158;173;193;286;315;394;438
2370;Chassemy;115;196;211;226;246;391;430;520;569
2400;Château-Thierry;95;158;173;188;208;316;348;430;475
2270;Châtillon-lès-Sons;149;259;274;289;309;519;571;673;728
2240;Châtillon-sur-Oise;161;282;297;312;332;564;620;727;785
2160;Chaudardes;110;186;201;216;236;373;410;497;546
2200;Chaudun;137;237;252;267;287;474;521;619;672
2300;Chauny;167;293;308;323;343;586;645;754;813
2000;Chavignon;135;233;248;263;283;466;513;610;663
2880;Chavigny;139;241;256;271;291;481;529;628;682
2370;Chavonne;126;216;231;246;266;433;476;569;621
2860;Chérêt;124;213;228;243;263;425;468;560;611
2860;Chermizy-Ailles;117;199;214;229;249;399;439;529;578
2220;Chéry-Chartreuve;104;175;190;205;225;350;385;470;518
2000;Chéry-lès-Pouilly;139;241;256;271;291;481;529;628;682
2360;Chéry-lès-Rozoy;139;241;256;271;291;481;529;628;682
2250;Chevennes;158;276;291;306;326;553;608;713;771
2000;Chevregny;130;224;239;254;274;448;492;587;639
2270;Chevresis-Monceau;157;274;289;304;324;549;604;709;766
2810;Chézy-en-Orxois;144;250;265;280;300;500;550;650;705
2570;Chézy-sur-Marne;92;153;168;183;203;305;336;416;461
2400;Chierry;93;154;169;184;204;309;340;421;466
2120;Chigny;173;304;319;334;354;609;670;781;841
2350;Chivres-en-Laonnois;131;226;241;256;276;451;496;592;644
2880;Chivres-Val;120;205;220;235;255;410;451;542;593
2000;Chivy-lès-Étouvelles;140;243;258;273;293;485;534;632;686
2210;Chouy;144;250;265;280;300;500;550;650;705
2130;Cierges;113;192;207;222;242;384;422;511;560
2250;Cilly;151;263;278;293;313;526;579;682;738
2220;Ciry-Salsogne;115;196;211;226;246;391;430;520;569
2000;Clacy-et-Thierret;141;244;259;274;294;489;538;637;691
2260;Clairfontaine;182;321;336;351;371;643;707;821;883
2880;Clamecy;185;327;342;357;377;654;719;835;897
2440;Clastres;174;306;321;336;356;613;674;785;846
2340;Clermont-les-Fermes;135;233;248;263;283;466;513;610;663
2600;Cœuvres-et-Valsery;166;291;306;321;341;583;641;749;808
2210;Coincy;133;229;244;259;279;459;505;601;653
2360;Coingt;151;263;278;293;313;526;579;682;738
2860;Colligis-Crandelain;125;214;229;244;264;429;472;565;616
2120;Colonfay;166;291;306;321;341;583;641;749;808
2300;Commenchon;173;304;319;334;354;609;670;781;841
2160;Concevreux;103;173;188;203;223;346;381;466;513
2330;Condé-en-Brie;71;113;128;143;163;226;249;322;363
2370;Condé-sur-Aisne;120;205;220;235;255;410;451;542;593
2190;Condé-sur-Suippe;103;173;188;203;223;346;381;466;513
2700;Condren;163;286;301;316;336;571;628;736;794
2330;Connigis;89;147;162;177;197;294;323;403;447
2680;Contescourt;169;297;312;327;347;594;653;763;822
2820;Corbeny;109;184;199;214;234;369;406;493;541
2600;Corcy;152;265;280;295;315;530;583;686;743
2380;Coucy-la-Ville;153;267;282;297;317;534;587;691;747
2380;Coucy-le-Château-Auffrique;150;261;276;291;311;523;575;677;733
2840;Coucy-lès-Eppes;122;209;224;239;259;418;459;551;602
2130;Coulonges-Cohan;109;184;199;214;234;369;406;493;541
2310;Coupru;105;177;192;207;227;354;389;475;522
2800;Courbes;146;254;269;284;304;508;558;659;714
2330;Courboin;85;139;154;169;189;279;307;385;428
2220;Courcelles-sur-Vesle;105;177;192;207;227;354;389;475;522
2810;Courchamps;138;239;254;269;289;478;525;623;677
2200;Courmelles;156;273;288;303;323;545;600;704;761
2130;Courmont;90;149;164;179;199;298;327;407;452
2850;Courtemont-Varennes;81;132;147;162;182;264;290;367;410
2820;Courtrizy-et-Fussigny;119;203;218;233;253;406;447;538;588
2220;Couvrelles;113;192;207;222;242;384;422;511;560
2270;Couvron-et-Aumencourt;153;267;282;297;317;534;587;691;747
2600;Coyolles;164;288;303;318;338;575;633;740;799
2130;Cramaille;124;213;228;243;263;425;468;560;611
2160;Craonne;112;190;205;220;240;380;418;506;555
2160;Craonnelle;111;188;203;218;238;376;414;502;550
2380;Crécy-au-Mont;136;235;250;265;285;470;517;614;668
2270;Crécy-sur-Serre;144;250;265;280;300;500;550;650;705
2870;Crépy;147;256;271;286;306;511;562;664;719
2650;Crézancy;78;126;141;156;176;253;278;353;396
2110;Croix-Fonsomme;183;323;338;353;373;646;711;826;888
2310;Crouttes-sur-Marne;101;169;184;199;219;339;373;457;503
2880;Crouy;125;214;229;244;264;429;472;565;616
2120;Crupilly;175;308;323;338;358;616;678;790;850
2880;Cuffies;129;222;237;252;272;444;488;583;635
2480;Cugny;184;325;340;355;375;650;715;830;893
2350;Cuirieux;145;252;267;282;302;504;554;655;710
2220;Cuiry-Housse;118;201;216;231;251;403;443;533;583
2160;Cuiry-lès-Chaudardes;111;188;203;218;238;376;414;502;550
2360;Cuiry-lès-Iviers;142;246;261;276;296;493;542;641;696
2160;Cuissy-et-Geny;119;203;218;233;253;406;447;538;588
2200;Cuisy-en-Almont;137;237;252;267;287;474;521;619;672
2600;Cutry;143;248;263;278;298;496;546;646;700
2220;Cys-la-Commune;127;218;233;248;268;436;480;574;625
2140;Dagny-Lambercy;147;256;271;286;306;511;562;664;719
2680;Dallon;171;301;316;331;351;601;661;772;832
2470;Dammard;145;252;267;282;302;504;554;655;710
2600;Dampleux;153;267;282;297;317;534;587;691;747
2800;Danizy;151;263;278;293;313;526;579;682;738
2270;Dercy;142;246;261;276;296;493;542;641;696
2700;Deuillet;157;274;289;304;324;549;604;709;766
2220;Dhuizel;108;183;198;213;233;365;402;488;536
2340;Dizy-le-Gros;124;213;228;243;263;425;468;560;611
2360;Dohis;147;256;271;286;306;511;562;664;719
2360;Dolignon;140;243;258;273;293;485;534;632;686
2600;Dommiers;159;278;293;308;328;556;612;718;775
2310;Domptin;141;244;259;274;294;489;538;637;691
2450;Dorengt;178;314;329;344;364;628;690;803;864
2590;Douchy;181;319;334;349;369;639;703;817;878
2130;Dravegny;113;192;207;222;242;384;422;511;560
2210;Droizy;149;259;274;289;309;519;571;673;728
2480;Dury;186;329;344;359;379;658;723;839;902
2350;Ébouleau;148;258;273;288;308;515;567;668;724
2500;Effry;175;308;323;338;358;616;678;790;850
2260;Englancourt;174;306;321;336;356;613;674;785;846
2290;Épagny;145;252;267;282;302;504;554;655;710
2500;Éparcy;162;284;299;314;334;568;624;731;789
2400;Épaux-Bézu;105;177;192;207;227;354;389;475;522
2400;Épieds;127;218;233;248;268;436;480;574;625
2840;Eppes;127;218;233;248;268;436;480;574;625
2250;Erlon;144;250;265;280;300;500;550;650;705
2260;Erloy;176;310;325;340;360;620;682;794;855
2170;Esquéhéries;186;329;344;359;379;658;723;839;902
2690;Essigny-le-Grand;186;329;344;359;379;658;723;839;902
2100;Essigny-le-Petit;178;314;329;344;364;628;690;803;864
2570;Essises;85;139;154;169;189;279;307;385;428
2400;Essômes-sur-Marne;95;158;173;188;208;316;348;430;475
2420;Estrées;189;334;349;364;384;669;736;853;916
2400;Étampes-sur-Marne;92;153;168;183;203;305;336;416;461
2110;Étaves-et-Bocquiaux;177;312;327;342;362;624;686;799;860
2000;Étouvelles;141;244;259;274;294;489;538;637;691
2580;Étréaupont;168;295;310;325;345;590;649;758;818
2590;Étreillers;180;318;333;348;368;635;699;812;874
2400;Étrépilly;162;284;299;314;334;568;624;731;789
2510;Étreux;178;314;329;344;364;628;690;803;864
2190;Évergnicourt;102;171;186;201;221;343;377;461;508
2320;Faucoucourt;151;263;278;293;313;526;579;682;738
2600;Faverolles;237;424;439;454;474;849;934;1069;1141
2100;Fayet;174;306;321;336;356;613;674;785;846
2130;Fère-en-Tardenois;118;201;216;231;251;403;443;533;583
2450;Fesmy-le-Sart;185;327;342;357;377;654;719;835;897
2840;Festieux;118;201;216;231;251;403;443;533;583
2110;Fieulaine;180;318;333;348;368;635;699;812;874
2000;Filain;130;224;239;254;274;448;492;587;639
2120;Flavigny-le-Grand-et-Beaurain;171;301;316;331;351;601;661;772;832
2520;Flavy-le-Martel;181;319;334;349;369;639;703;817;878
2600;Fleury;153;267;282;297;317;534;587;691;747
2590;Fluquières;178;314;329;344;364;628;690;803;864
2670;Folembray;173;304;319;334;354;609;670;781;841
2110;Fonsomme;181;319;334;349;369;639;703;817;878
2680;Fontaine-lès-Clercs;170;299;314;329;349;598;657;767;827
2140;Fontaine-lès-Vervins;163;286;301;316;336;571;628;736;794
2110;Fontaine-Notre-Dame;181;319;334;349;369;639;703;817;878
2110;Fontaine-Uterte;180;318;333;348;368;635;699;812;874
2170;Fontenelle;184;325;340;355;375;650;715;830;893
2540;Fontenelle-en-Brie;78;126;141;156;176;253;278;353;396
2290;Fontenoy;136;235;250;265;285;470;517;614;668
2590;Foreste;184;325;340;355;375;650;715;830;893
2650;Fossoy;80;130;145;160;180;260;286;362;405
2870;Fourdrain;159;278;293;308;328;556;612;718;775
2760;Francilly-Selency;174;306;321;336;356;613;674;785;846
2140;Franqueville;164;288;303;318;338;575;633;740;799
2380;Fresnes;136;235;250;265;285;470;517;614;668
2130;Fresnes-en-Tardenois;114;194;209;224;244;388;426;515;564
2230;Fresnoy-le-Grand;186;329;344;359;379;658;723;839;902
2800;Fressancourt;156;273;288;303;323;545;600;704;761
2700;Frières-Faillouël;170;299;314;329;349;598;657;767;827
2260;Froidestrées;172;303;318;333;353;605;666;776;836
2270;Froidmont-Cohartille;137;237;252;267;287;474;521;619;672
2810;Gandelu;108;183;198;213;233;365;402;488;536
2430;Gauchy;166;291;306;321;341;583;641;749;808
2140;Gercy;157;274;289;304;324;549;604;709;766
2260;Gergny;170;299;314;329;349;598;657;767;827
2590;Germaine;181;319;334;349;369;639;703;817;878
2160;Gernicourt;98;164;179;194;214;328;360;443;489
2440;Gibercourt;173;304;319;334;354;609;670;781;841
2350;Gizy;140;243;258;273;293;485;534;632;686
2400;Gland;131;226;241;256;276;451;496;592;644
2160;Glennes;100;168;183;198;218;335;369;452;499
2820;Goudelancourt-lès-Berrieux;113;192;207;222;242;384;422;511;560
2350;Goudelancourt-lès-Pierrepont;147;256;271;286;306;511;562;664;719
2130;Goussancourt;104;175;190;205;225;350;385;470;518
2420;Gouy;192;340;355;370;390;680;748;866;930
2350;Grandlup-et-Fay;142;246;261;276;296;493;542;641;696
2360;Grandrieux;141;244;259;274;294;489;538;637;691
2210;Grand-Rozoy;129;222;237;252;272;444;488;583;635
2120;Grand-Verly;175;308;323;338;358;616;678;790;850
2100;Gricourt;178;314;329;344;364;628;690;803;864
2210;Grisolles;131;226;241;256;276;451;496;592;644
2140;Gronard;157;274;289;304;324;549;604;709;766
2110;Grougis;181;319;334;349;369;639;703;817;878
2680;Grugies;166;291;306;321;341;583;641;749;808
2190;Guignicourt;101;169;184;199;219;339;373;457;503
2120;Guise;167;293;308;323;343;586;645;754;813
2300;Guivry;177;312;327;342;362;624;686;799;860
2300;Guny;142;246;261;276;296;493;542;641;696
2160;Guyencourt;98;164;179;194;214;328;360;443;489
2510;Hannapes;177;312;327;342;362;624;686;799;860
2480;Happencourt;174;306;321;336;356;613;674;785;846
2600;Haramont;152;265;280;295;315;530;583;686;743
2140;Harcigny;145;252;267;282;302;504;554;655;710
2420;Hargicourt;190;336;351;366;386;673;740;857;921
2100;Harly;169;297;312;327;347;594;653;763;822
2210;Hartennes-et-Taux;146;254;269;284;304;508;558;659;714
2140;Hary;145;252;267;282;302;504;554;655;710
2810;Hautevesnes;142;246;261;276;296;493;542;641;696
2120;Hauteville;171;301;316;331;351;601;661;772;832
2140;Haution;169;297;312;327;347;594;653;763;822
2440;Hinacourt;175;308;323;338;358;616;678;790;850
2500;Hirson;166;291;306;321;341;583;641;749;808
2760;Holnon;174;306;321;336;356;613;674;785;846
2720;Homblières;171;301;316;331;351;601;661;772;832
2140;Houry;154;269;284;299;319;538;591;695;752
2250;Housset;154;269;284;299;319;538;591;695;752
2510;Iron;175;308;323;338;358;616;678;790;850
2240;Itancourt;170;299;314;329;349;598;657;767;827
2360;Iviers;147;256;271;286;306;511;562;664;719
2850;Jaulgonne;85;139;154;169;189;279;307;385;428
2490;Jeancourt;187;331;346;361;381;661;727;844;907
2140;Jeantes;155;271;286;301;321;541;595;700;757
2420;Joncourt;189;334;349;364;384;669;736;853;916
2220;Jouaignes;112;190;205;220;240;380;418;506;555
2380;Jumencourt;148;258;273;288;308;515;567;668;724
2160;Jumigny;118;201;216;231;251;403;443;533;583
2480;Jussy;178;314;329;344;364;628;690;803;864
2880;Juvigny;127;218;233;248;268;436;480;574;625
2190;Juvincourt-et-Damary;106;179;194;209;229;358;393;479;527
2140;La Bouteille;167;293;308;323;343;586;645;754;813
2260;La Capelle;176;310;325;340;360;620;682;794;855
