cp;nom;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
89460;Accolay;162;322;337;347;362;643;740;852;956
89800;Aigremont;142;280;295;305;320;561;645;753;849
89110;Aillant-sur-Tholon;156;309;324;334;349;619;711;822;924
89390;Aisy-sur-Armançon;155;307;322;332;347;614;707;817;919
89160;Ancy-le-Franc;139;274;289;299;314;548;631;738;833
89160;Ancy-le-Libre;134;264;279;289;304;528;607;713;806
89480;Andryes;180;359;374;384;399;718;825;941;1053
89440;Angely;161;320;335;345;360;639;735;847;951
89200;Annay-la-Côte;165;328;343;353;368;656;754;867;972
89310;Annay-sur-Serein;139;274;289;299;314;548;631;738;833
89200;Annéot;166;330;345;355;370;660;759;872;978
89440;Annoux;160;318;333;343;358;635;730;842;946
89380;Appoigny;140;276;291;301;316;553;635;743;838
89320;Arces-Dilo;136;268;283;293;308;536;616;723;817
89270;Arcy-sur-Cure;164;326;341;351;366;652;749;862;967
89160;Argentenay;134;264;279;289;304;528;607;713;806
89160;Argenteuil-sur-Armançon;138;272;287;297;312;544;626;733;828
89500;Armeau;168;334;349;359;374;668;768;882;988
89740;Arthonnay;109;212;227;237;252;425;488;590;672
89660;Asnières-sous-Bois;189;377;392;402;417;755;868;986;1101
89450;Asquins;173;344;359;369;384;689;792;906;1015
89440;Athie;161;320;335;345;360;639;735;847;951
89290;Augy;147;291;306;316;331;581;669;778;876
89000;Auxerre;142;280;295;305;320;561;645;753;849
89200;Avallon;169;336;351;361;376;672;773;887;994
89190;Bagneaux;120;235;250;260;275;470;541;644;731
89430;Baon;119;233;248;258;273;466;536;639;726
89400;Bassou;138;272;287;297;312;544;626;733;828
89460;Bazarnes;161;320;335;345;360;639;735;847;951
89250;Beaumont;135;266;281;291;306;532;612;718;811
89630;Beauvilliers;183;365;380;390;405;730;839;956;1069
89240;Beauvoir;208;417;432;442;457;833;958;1080;1203
89800;Beine;143;282;297;307;322;565;650;758;854
89210;Bellechaume;142;280;295;305;320;561;645;753;849
89150;La Belliole;164;326;341;351;366;652;749;862;967
89410;Béon;190;379;394;404;419;759;873;991;1106
89360;Bernouil;123;241;256;266;281;482;555;659;747
89700;Béru;123;241;256;266;281;482;555;659;747
89270;Bessy-sur-Cure;161;320;335;345;360;639;735;847;951
89570;Beugnon;112;219;234;244;259;437;503;604;688
89420;Bierry-les-Belles-Fontaines;165;328;343;353;368;656;754;867;972
89440;Blacy;161;320;335;345;360;639;735;847;951
89200;Blannay;168;334;349;359;374;668;768;882;988
89230;Bleigny-le-Carreau;136;268;283;293;308;536;616;723;817
89220;Bléneau;225;452;467;477;492;903;1039;1164;1294
89770;Bœurs-en-Othe;129;254;269;279;294;507;583;689;779
89660;Bois-d'Arcy;194;388;403;413;428;775;892;1010;1128
89400;Bonnard;137;270;285;295;310;540;621;728;822
89500;Les Bordes;141;278;293;303;318;557;640;748;844
89113;Branches;143;282;297;307;322;565;650;758;854
89150;Brannay;159;315;330;340;355;631;726;837;940
89210;Brienon-sur-Armançon;124;243;258;268;283;487;559;664;752
89400;Brion;149;295;310;320;335;590;678;788;887
89660;Brosses;178;355;370;380;395;709;816;931;1042
89630;Bussières;181;361;376;386;401;722;830;946;1058
89400;Bussy-en-Othe;147;291;306;316;331;581;669;778;876
89500;Bussy-le-Repos;179;357;372;382;397;713;820;936;1047
89360;Butteaux;118;231;246;256;271;462;531;634;720
89360;Carisey;120;235;250;260;275;470;541;644;731
89116;La Celle-Saint-Cyr;189;377;392;402;417;755;868;986;1101
