CP;Commune;Distance;01-02;03-04;05-06;07-08;09-12;13-16 ;17-31 ;32-54
08270;Corny-Machéroménil;120;235;250;260;275;470;541;644;731
08300;Coucy;115;225;240;250;265;449;517;619;704
08130;Coulommes-et-Marqueny;105;204;219;229;244;408;469;570;651
08140;Daigny;170;338;353;363;378;676;778;892;999
08090;Damouzy;155;307;322;332;347;614;707;817;919
08800;Deville;170;338;353;363;378;676;778;892;999
08160;Dom-le-Mesnil;150;297;312;322;337;594;683;793;892
08460;Dommery;140;276;291;301;316;553;635;743;838
08350;Donchery;160;318;333;343;358;635;730;842;946
08220;Doumely-Bégny;125;245;260;270;285;491;564;669;758
08300;Doux;110;214;229;239;254;429;493;595;677
08140;Douzy;175;348;363;373;388;697;801;916;1026
08220;Draize;130;256;271;281;296;511;588;694;785
08310;Dricourt;105;204;219;229;244;408;469;570;651
08110;Escombres-et-le-Chesnois;180;359;374;384;399;718;825;941;1053
08260;Estrebay;150;297;312;322;337;594;683;793;892
08210;Euilly-et-Lombut;185;369;384;394;409;738;849;966;1080
08250;Exermont;135;266;281;291;306;532;612;718;811
08090;Fagnon;145;287;302;312;327;573;659;768;865
08270;Faissault;125;245;260;270;285;491;564;669;758
08400;Falaise;105;204;219;229;244;408;469;570;651
08270;FAUX;120;235;250;260;275;470;541;644;731
08260;Flaignes-Havys;150;297;312;322;337;594;683;793;892
08200;Fleigneux;170;338;353;363;378;676;778;892;999
08380;Fligny;160;318;333;343;358;635;730;842;946
08160;Flize;150;297;312;322;337;594;683;793;892
08200;Floing;165;328;343;353;368;656;754;867;972
08250;Fléville;135;266;281;291;306;532;612;718;811
08600;Foisches;205;410;425;435;450;821;944;1065;1187
08240;Fossé;125;245;260;270;285;491;564;669;758
08220;Fraillicourt;130;256;271;281;296;511;588;694;785
08140;Francheval;175;348;363;373;388;697;801;916;1026
08600;Fromelennes;210;421;436;446;461;841;967;1090;1214
08370;Fromy;195;390;405;415;430;779;896;1015;1133
08170;Fumay;190;379;394;404;419;759;873;991;1106
08170;Fépin;185;369;384;394;409;738;849;966;1080
08240;Germont;120;235;250;260;275;470;541;644;731
08440;Gernelle;160;318;333;343;358;635;730;842;946
08700;Gespunsart;165;328;343;353;368;656;754;867;972
08260;Girondelle;155;307;322;332;347;614;707;817;919
08600;Givet;210;421;436;446;461;841;967;1090;1214
08200;Givonne;175;348;363;373;388;697;801;916;1026
08220;Givron;120;235;250;260;275;470;541;644;731
08130;Givry;120;235;250;260;275;470;541;644;731
08200;Glaire;165;328;343;353;368;656;754;867;972
08190;Gomont;110;214;229;239;254;429;493;595;677
08270;Grandchamp;125;245;260;270;285;491;564;669;758
08250;Grandham;105;204;219;229;244;408;469;570;651
08250;Grandpré;110;214;229;239;254;429;493;595;677
08400;Grivy-Loisy;105;204;219;229;244;408;469;570;651
08430;Gruyères;140;276;291;301;316;553;635;743;838
08430;Guignicourt-sur-Vence;140;276;291;301;316;553;635;743;838
08130;Guincourt;120;235;250;260;275;470;541;644;731
08230;Gué-d'Hossus;165;328;343;353;368;656;754;867;972
08430;Hagnicourt;135;266;281;291;306;532;612;718;811
08090;Ham-les-Moines;160;318;333;343;358;635;730;842;946
08600;Ham-sur-Meuse;205;410;425;435;450;821;944;1065;1187
08290;Hannappes;155;307;322;332;347;614;707;817;919
08160;Hannogne-Saint-Martin;155;307;322;332;347;614;707;817;919
08220;Hannogne-Saint-Rémy;130;256;271;281;296;511;588;694;785
08450;Haraucourt;175;348;363;373;388;697;801;916;1026
08150;Harcy;165;328;343;353;368;656;754;867;972
08170;Hargnies;185;369;384;394;409;738;849;966;1080
08240;Harricourt;120;235;250;260;275;470;541;644;731
08090;Haudrecy;160;318;333;343;358;635;730;842;946
08800;Haulmé;170;338;353;363;378;676;778;892;999
08300;Hauteville;120;235;250;260;275;470;541;644;731
08310;Hauviné;80;153;168;178;193;305;351;446;517
08170;Haybes;180;359;374;384;399;718;825;941;1053
08370;Herbeuval;200;400;415;425;440;800;920;1040;1160
08360;Herpy-l'Arlésienne;110;214;229;239;254;429;493;595;677
08320;Hierges;200;400;415;425;440;800;920;1040;1160
08190;Houdilcourt;100;194;209;219;234;388;446;545;624
08090;Houldizy;160;318;333;343;358;635;730;842;946
08200;Illy;180;359;374;384;399;718;825;941;1053
08240;Imécourt;120;235;250;260;275;470;541;644;731
08300;Inaumont;115;225;240;250;265;449;517;619;704
08440;Issancourt-et-Rumel;160;318;333;343;358;635;730;842;946
08430;Jandun;135;266;281;291;306;532;612;718;811
08700;Joigny-sur-Meuse;165;328;343;353;368;656;754;867;972
08130;Jonval;145;287;302;312;327;573;659;768;865
08310;Juniville;105;204;219;229;244;408;469;570;651
08270;Justine-Herbigny;120;235;250;260;275;470;541;644;731
08300;L'Écaille;100;194;209;219;234;388;446;545;624
08150;L'Échelle;145;287;302;312;327;573;659;768;865
08240;La Berlière;135;266;281;291;306;532;612;718;811
08450;La Besace;145;287;302;312;327;573;659;768;865
08200;La Chapelle;175;348;363;373;388;697;801;916;1026
08400;La Croix-aux-Bois;110;214;229;239;254;429;493;595;677
08370;La Ferté-sur-Chiers;195;390;405;415;430;779;896;1015;1133
08000;La Francheville;145;287;302;312;327;573;659;768;865
08290;La Férée;150;297;312;322;337;594;683;793;892
08700;La Grandville;160;318;333;343;358;635;730;842;946
08430;La Horgne;140;276;291;301;316;553;635;743;838
08140;La Moncelle;170;338;353;363;378;676;778;892;999
08380;La Neuville-aux-Joûtes;165;328;343;353;368;656;754;867;972
08310;La Neuville-en-Tourne-à-Fuy;90;173;188;198;213;346;398;496;570
08270;La Neuville-lès-Wasigny;125;245;260;270;285;491;564;669;758
08450;La Neuville-à-Maire;155;307;322;332;347;614;707;817;919
08220;La Romagne;135;266;281;291;306;532;612;718;811
08130;La Sabotterie;120;235;250;260;275;470;541;644;731
08800;Laifour;175;348;363;373;388;697;801;916;1026
08460;Lalobbe;130;256;271;281;296;511;588;694;785
08130;Lametz;120;235;250;260;275;470;541;644;731
08240;Landres-et-Saint-Georges;120;235;250;260;275;470;541;644;731
08600;Landrichamps;215;431;446;456;471;862;991;1114;1240
08250;Lançon;105;204;219;229;244;408;469;570;651
08430;Launois-sur-Vence;130;256;271;281;296;511;588;694;785
08150;Laval-Morency;150;297;312;322;337;594;683;793;892
08390;Le Chesne;120;235;250;260;275;470;541;644;731
08300;Le Châtelet-sur-Retourne;95;183;198;208;223;367;422;520;597
08150;Le Châtelet-sur-Sormonne;150;297;312;322;337;594;683;793;892
08290;Le Fréty;140;276;291;301;316;553;635;743;838
08390;Le Mont-Dieu;130;256;271;281;296;511;588;694;785
08190;Le Thour;115;225;240;250;265;449;517;619;704
08310;Leffincourt;100;194;209;219;234;388;446;545;624
08400;Les Alleux;115;225;240;250;265;449;517;619;704
08000;Les Ayvelles;150;297;312;322;337;594;683;793;892
08110;Les Deux-Villes;190;379;394;404;419;759;873;991;1106
08390;Les Grandes-Armoises;130;256;271;281;296;511;588;694;785
08800;Les Hautes-Rivières;175;348;363;373;388;697;801;916;1026
08500;Les Mazures;170;338;353;363;378;676;778;892;999
08390;Les Petites-Armoises;120;235;250;260;275;470;541;644;731
08290;Liart;150;297;312;322;337;594;683;793;892
08110;Linay;190;379;394;404;419;759;873;991;1106
08400;Liry;95;183;198;208;223;367;422;520;597
08150;Logny-Bogny;145;287;302;312;327;573;659;768;865
08400;Longwé;105;204;219;229;244;408;469;570;651
08150;Lonny;165;328;343;353;368;656;754;867;972
08390;Louvergny;150;297;312;322;337;594;683;793;892
08300;Lucquy;120;235;250;260;275;470;541;644;731
08440;Lumes;150;297;312;322;337;594;683;793;892
08150;Lépron-les-Vallées;140;276;291;301;316;553;635;743;838
08210;Létanne;150;297;312;322;337;594;683;793;892
08310;Machault;95;183;198;208;223;367;422;520;597
08450;Maisoncelle-et-Villers;170;338;353;363;378;676;778;892;999
08370;Malandry;195;390;405;415;430;779;896;1015;1133
08400;Manre;90;173;188;198;213;346;398;496;570
08460;Maranwez;140;276;291;301;316;553;635;743;838
08260;Marby;150;297;312;322;337;594;683;793;892
08250;Marcq;115;225;240;250;265;449;517;619;704
08370;Margny;205;410;425;435;450;821;944;1065;1187
08370;Margut;195;390;405;415;430;779;896;1015;1133
