cp;nom;distance;01-02;03-04;05-06;07-08;09-12;13-16;17-31;32-54
54210;Burthecourt-aux-Chênes;185;369;384;394;409;738;849;966;1080
54134;Ceintrey;184;367;382;392;407;734;844;961;1074
54420;Cerville;185;369;384;394;409;738;849;966;1080
54230;Chaligny;165;328;343;353;368;656;754;867;972
54890;Chambley-Bussières;171;340;355;365;380;680;782;896;1004
54280;Champenoux;188;375;390;400;415;751;863;981;1096
54700;Champey-sur-Moselle;170;338;353;363;378;676;778;892;999
54250;Champigneulles;171;340;355;365;380;680;782;896;1004
54300;Chanteheux;200;400;415;425;440;800;920;1040;1160
54330;Chaouilley;182;363;378;388;403;726;835;951;1063
54260;Charency-Vezin;191;381;396;406;421;763;877;995;1112
54470;Charey;164;326;341;351;366;652;749;862;967
54113;Charmes-la-Côte;147;291;306;316;331;581;669;778;876
54360;Charmois;193;386;401;411;426;771;887;1005;1122
54200;Chaudeney-sur-Moselle;148;293;308;318;333;586;673;783;881
54230;Chavigny;171;340;355;365;380;680;782;896;1004
54450;Chazelles-sur-Albe;224;450;465;475;490;899;1034;1159;1289
54122;Chenevières;210;421;436;446;461;841;967;1090;1214
54610;Chenicourt;192;384;399;409;424;767;882;1000;1117
54720;Chenières;191;381;396;406;421;763;877;995;1112
54200;Choloy-Ménillot;138;272;287;297;312;544;626;733;828
54480;Cirey-sur-Vezouze;234;470;485;495;510;940;1081;1208;1342
54290;Clayeures;205;410;425;435;450;821;944;1065;1187
54610;Clémery;195;390;405;415;430;779;896;1015;1133
54330;Clérey-sur-Brenon;188;375;390;400;415;751;863;981;1096
54370;Coincourt;214;429;444;454;469;858;986;1109;1235
54260;Colmey;185;369;384;394;409;738;849;966;1080
54170;Colombey-les-Belles;159;315;330;340;355;631;726;837;940
54800;Conflans-en-Jarnisy;171;340;355;365;380;680;782;896;1004
54870;Cons-la-Grandville;188;375;390;400;415;751;863;981;1096
54400;Cosnes-et-Romain;193;386;401;411;426;771;887;1005;1122
54110;Courbesseaux;194;388;403;413;428;775;892;1010;1128
54930;Courcelles;185;369;384;394;409;738;849;966;1080
54210;Coyviller;186;371;386;396;411;742;854;971;1085
54740;Crantenoy;193;386;401;411;426;771;887;1005;1122
54170;Crépey;167;332;347;357;372;664;763;877;983
54290;Crévéchamps;188;375;390;400;415;751;863;981;1096
54110;Crévic;198;396;411;421;436;792;911;1030;1149
54113;Crézilles;152;301;316;326;341;602;692;802;903
54300;Crion;204;408;423;433;448;817;939;1060;1181
54300;Croismare;207;414;429;439;454;829;953;1075;1198
54680;Crusnes;196;392;407;417;432;784;901;1020;1139
54670;Custines;176;351;366;376;391;701;806;921;1031
54720;Cutry;189;377;392;402;417;755;868;986;1101
54360;Damelevières;191;381;396;406;421;763;877;995;1112
54470;Dampvitoux;170;338;353;363;378;676;778;892;999
54120;Deneuvre;223;447;462;472;487;895;1029;1154;1283
54370;Deuxville;196;392;407;417;432;784;901;1020;1139
54930;Diarville;189;377;392;402;417;755;868;986;1101
54380;Dieulouard;171;340;355;365;380;680;782;896;1004
54170;Dolcourt;167;332;347;357;372;664;763;877;983
54110;Dombasle-sur-Meurthe;188;375;390;400;415;751;863;981;1096
54385;Domèvre-en-Haye;166;330;345;355;370;660;759;872;978
54450;Domèvre-sur-Vezouze;222;445;460;470;485;891;1024;1149;1278
54119;Domgermain;146;289;304;314;329;577;664;773;870
54450;Domjevin;214;429;444;454;469;858;986;1109;1235
54115;Dommarie-Eulmont;180;359;374;384;399;718;825;941;1053
54130;Dommartemont;185;369;384;394;409;738;849;966;1080
54470;Dommartin-la-Chaussée;172;342;357;367;382;685;787;901;1010
54200;Dommartin-lès-Toul;150;297;312;322;337;594;683;793;892
54770;Dommartin-sous-Amance;179;357;372;382;397;713;820;936;1047
54490;Domprix;173;344;359;369;384;689;792;906;1015
54290;Domptail-en-l'Air;195;390;405;415;430;779;896;1015;1133
54800;Doncourt-lès-Conflans;179;357;372;382;397;713;820;936;1047
54620;Doncourt-lès-Longuyon;174;346;361;371;386;693;797;911;1021
54370;Drouville;211;423;438;448;463;845;972;1094;1219
54200;Écrouves;143;282;297;307;322;565;650;758;854
54360;Einvaux;202;404;419;429;444;808;929;1050;1171
54370;Einville-au-Jard;201;402;417;427;442;804;925;1045;1165
54370;Emberménil;220;441;456;466;481;883;1015;1139;1267
54260;Épiez-sur-Chiers;181;361;376;386;401;722;830;946;1058
54610;Éply;203;406;421;431;446;812;934;1055;1176
54280;Erbéviller-sur-Amezule;192;384;399;409;424;767;882;1000;1117
54680;Errouville;194;388;403;413;428;775;892;1010;1128
54470;Essey-et-Maizerais;152;301;316;326;341;602;692;802;903
54830;Essey-la-Côte;212;425;440;450;465;850;977;1099;1224
54270;Essey-lès-Nancy;181;361;376;386;401;722;830;946;1058
54330;Étreval;180;359;374;384;399;718;825;941;1053
54690;Eulmont;177;353;368;378;393;705;811;926;1037
54470;Euvezin;155;307;322;332;347;614;707;817;919
54760;Faulx;180;359;374;384;399;718;825;941;1053
54115;Favières;122;239;254;264;279;478;550;654;742
54115;Fécocourt;178;355;370;380;395;709;816;931;1042
54540;Fenneviller;231;464;479;489;504;928;1067;1193;1326
54210;Ferrières;188;375;390;400;415;751;863;981;1096
54470;Fey-en-Haye;159;315;330;340;355;631;726;837;940
54560;Fillières;184;367;382;392;407;734;844;961;1074
54110;Flainval;191;381;396;406;421;763;877;995;1112
54630;Flavigny-sur-Moselle;179;357;372;382;397;713;820;936;1047
54710;Fléville-devant-Nancy;176;351;366;376;391;701;806;921;1031
54150;Fléville-Lixières;167;332;347;357;372;664;763;877;983
54122;Flin;220;441;456;466;481;883;1015;1139;1267
54470;Flirey;147;291;306;316;331;581;669;778;876
54122;Fontenoy-la-Joûte;222;445;460;470;485;891;1024;1149;1278
54840;Fontenoy-sur-Moselle;155;307;322;332;347;614;707;817;919
54330;Forcelles-Saint-Gorgon;180;359;374;384;399;718;825;941;1053
54930;Forcelles-sous-Gugney;190;379;394;404;419;759;873;991;1106
54570;Foug;134;264;279;289;304;528;607;713;806
54300;Fraimbois;206;412;427;437;452;825;948;1070;1192
